time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,0,0.60264769154394,0.60264769154394,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.00125,0,0.60264769154394,0.60264769154394,0.9999964555436,0.99999115197867,0.99999648370277,0.99999597784233,1.0002187170923e-05,1.5641593307192e-22,5.5762917129888e-08,-8.695556885422e-07,0.0099999689895763,-2.4808338928039e-05,2.0394571446971e-05,-3.7178336434456e-07,-5.2044192115877e-07,-8.8378780947867e-07,0.90000434331573,0.89999982194734,2.5,2.5,-3.8433879172217e-07,-1.2499999999993e-05
0.0025,0,0.60264769154394,0.60264769154394,0.99999293435501,0.99998240920029,0.99999294385071,0.99999204949463,1.993869007689e-05,2.9954969109746e-22,-4.604555801276e-08,-1.7394321499091e-06,0.0099999227764122,-3.697053130539e-05,3.231337975843e-05,-7.4973945372032e-07,-1.067373350357e-06,-1.7558292564476e-06,0.90000867641753,0.89999964833277,2.5,2.5,-7.8100536196067e-07,-2.5000000000006e-05
0.00375,0,0.60264769154394,0.60264769154394,0.99998943050592,0.99997375749222,0.99998939555943,0.99998818105044,2.9826156229253e-05,4.364349889804e-22,-2.5023423785412e-07,-2.6116124119438e-06,0.0099998652227885,-4.6042898955536e-05,4.1311356057686e-05,-1.1323008458173e-06,-1.6267115226904e-06,-2.6191085233799e-06,0.90001298154307,0.8999994780453,2.5,2.5,-1.1868678185605e-06,-3.7500000000001e-05
0.005,0,0.60264769154394,0.60264769154394,0.99998594095928,0.99996517603193,0.99998584597926,0.99998435530622,3.9672932375407e-05,5.6916313410995e-22,-5.2781864814409e-07,-3.4899857280861e-06,0.0099997982840345,-5.3551003216302e-05,4.8787785952843e-05,-1.5186756315238e-06,-2.193799007057e-06,-3.4751363909162e-06,0.90001726194799,0.89999931055699,2.5,2.5,-1.6003406009581e-06,-5.0000000000009e-05
0.00625,0,0.60264769154394,0.60264769154394,0.99998246374655,0.99995665083267,0.99998229858378,0.99998056254433,4.9484087052089e-05,6.9862082628672e-22,-8.6225778452642e-07,-4.3814008375594e-06,0.0099997231834171,-6.0080493892456e-05,5.530209725843e-05,-1.9083714881776e-06,-2.7665030711047e-06,-4.324858013485e-06,0.90002152147343,0.899999145603,2.5,2.5,-2.0204317719144e-06,-6.2499999999986e-05
0.0075,0,0.60264769154394,0.60264769154394,0.99997899737916,0.99994817253301,0.9999787551691,0.99997679668739,5.926292237376e-05,8.2528714591028e-22,-1.2431580918236e-06,-5.3217954098712e-06,0.0099996407768604,-6.5925245362857e-05,6.1139639970065e-05,-2.3010489350361e-06,-3.3436412044177e-06,-5.1689347188066e-06,0.90002576307418,0.89999898310288,2.5,2.5,-2.4464472696182e-06,-7.5e-05
0.00875,0,0.60264769154394,0.60264769154394,0.99997554058278,0.99993973457196,0.99997521670514,0.99997305362841,6.9011570252161e-05,9.4946646313566e-22,-1.6634764767419e-06,-6.2971555356115e-06,0.0099995517059293,-7.1256744864836e-05,6.6468326533368e-05,-2.6964605835638e-06,-3.9244718715191e-06,-6.0078622105636e-06,0.9000299889581,0.89999882314448,2.5,2.5,-2.8778668542645e-06,-8.7499999999998e-05
0.01,0,0.60264769154394,0.60264769154394,0.9999720921523,0.99993133213743,0.99997168372411,0.99996933042451,7.8731268590939e-05,1.0713740344157e-21,-2.1181569387758e-06,-7.2920519751484e-06,0.0099994564744342,-7.6185196126675e-05,7.139660523276e-05,-3.0944211913286e-06,-4.5084890482876e-06,-6.8420297566385e-06,0.90003420080687,0.89999866598607,2.5,2.5,-3.3142819901816e-06,-0.00010000000000001
0.01125,0,0.60264769154394,0.60264769154394,0.99997219532274,0.9999318095833,0.99997167280954,0.99996964702752,7.84203239204e-05,1.0347574816819e-21,-2.6591675353171e-06,-7.5069356160119e-06,0.0099993865019459,-5.597799062011e-05,5.5604675857318e-05,-3.1230075676364e-06,-4.5748838116251e-06,-6.7879656742745e-06,0.9000340560221,0.8999986901228,2.5,2.5,-3.3710221114311e-06,-9.9999999999987e-05
