time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,0,0.60264769154394,0.60264769154394,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.0025,0,0.60264769154394,0.60264769154394,0.99999437161673,0.99998348206567,0.9999933077503,0.99999236299142,1.8617506912158e-05,1.2726647059078e-21,1.8652263560613e-06,7.4348068296937e-07,0.0099999170340787,-3.318636853186e-05,2.5095895757026e-05,-6.7702200688717e-07,-1.148349965778e-06,-1.3849630522793e-06,0.90000799296521,0.89999904251483,2.5,2.5,-7.4335796514759e-07,-2.4999999999996e-05
0.005,0,0.60264769154394,0.60264769154394,0.9999888316225,0.99996653494119,0.99998668761651,0.99998461570958,3.7096845209043e-05,2.5112775944564e-21,3.6011670153101e-06,1.4779363449911e-06,0.0099997946192555,-4.8965929274959e-05,4.0371556215486e-05,-1.3653497595004e-06,-2.3324694708159e-06,-2.7245635657126e-06,0.90001627323614,0.89999807037306,2.5,2.5,-1.5169576228572e-06,-4.9999999999999e-05
0.0075,0,0.60264769154394,0.60264769154394,0.99998334134245,0.99994947685052,0.99998012515705,0.99997684947289,5.5418616273481e-05,3.7242304677514e-21,5.279926740216e-06,2.2059414963967e-06,0.0099996428660968,-6.070126347301e-05,5.1958730663896e-05,-2.0622805792223e-06,-3.5316858755749e-06,-4.0304208358402e-06,0.90002463660485,0.89999710538492,2.5,2.5,-2.3130527761068e-06,-7.5000000000013e-05
0.01,0,0.60264769154394,0.60264769154394,0.99997788679337,0.99993239769499,0.99997361089075,0.99996909030093,7.359679586234e-05,4.9135633341624e-21,6.9235683062272e-06,2.9287976701481e-06,0.0099994669320753,-7.0373608606788e-05,6.1576705908503e-05,-2.7665319463558e-06,-4.7399173276821e-06,-5.3084614299467e-06,0.90003302557796,0.89999615160254,2.5,2.5,-3.127692380034e-06,-9.9999999999986e-05
0.0125,0,0.60264769154394,0.60264769154394,0.99997808561353,0.99993185011241,0.99997383111693,0.99996898483612,7.3018911564168e-05,4.807954539246e-21,6.6767313923731e-06,2.9039293593202e-06,0.0099993530164888,-4.5566234591532e-05,4.4841079061179e-05,-2.8004200621616e-06,-4.8061961119313e-06,-5.1774387392762e-06,0.90003342352915,0.89999617086915,2.5,2.5,-3.215040840483e-06,-0.00010000000000001
0.015,0,0.60264769154394,0.60264769154394,0.99997821062302,0.99993176120456,0.99997401752955,0.99996901037244,7.2437384911617e-05,4.715294932889e-21,6.5393980793425e-06,2.8845821331165e-06,0.009999259867427,-3.7259624733994e-05,3.7036349204907e-05,-2.8293570581833e-06,-4.8416937669559e-06,-5.0702825184518e-06,0.90003352653891,0.89999622613365,2.5,2.5,-3.2864783210348e-06,-9.9999999999995e-05
0.0175,0,0.60264769154394,0.60264769154394,0.99997828991403,0.99993182063573,0.99997418186058,0.99996907730052,7.1862488410229e-05,4.6282533938916e-21,6.4429133653888e-06,2.8688358396065e-06,0.0099991790733947,-3.2317612889284e-05,3.2249336281419e-05,-2.8559691163714e-06,-4.8662125701457e-06,-4.9773272881494e-06,0.90003353328459,0.89999630267162,2.5,2.5,-3.3484484745667e-06,-0.0001
0.02,0,0.60264769154394,0.60264769154394,0.99997832680654,0.99993194255179,0.99997433168059,0.99996916022729,7.1267361649683e-05,4.5457474145731e-21,6.367581296654e-06,2.8559861860512e-06,0.0099991068117469,-2.8904659128e-05,2.8902659516067e-05,-2.8816071987533e-06,-4.8852452984862e-06,-4.8941817203731e-06,0.90003349818775,0.89999640430872,2.5,2.5,-3.4038788530832e-06,-9.9999999999989e-05
0.0225,0,0.60264769154394,0.60264769154394,0.99997832158036,0.99993209426756,0.99997447156131,0.99996924960098,7.063208186126e-05,4.4672974588274e-21,6.3052584451269e-06,2.8456763991586e-06,0.0099990409334047,-2.6351336892598e-05,2.638300380129e-05,-2.9070875992089e-06,-4.900984608455e-06,-4.8183766577035e-06,0.90003344207099,0.89999653490773,2.5,2.5,-3.454415561531e-06,-0.00010000000000003
0.025,0,0.60264769154394,0.60264769154394,0.99997827466885,0.99993226081489,0.99997460441944,0.99996934118853,6.9944396096146e-05,4.3925090981513e-21,6.2517843568481e-06,2.8376671315444e-06,0.0099989800766174,-2.4342714899418e-05,2.4393200844781e-05,-2.9329121895875e-06,-4.914517830378e-06,-4.7483472180775e-06,0.90003337459705,0.89999669670377,2.5,2.5,-3.5011018546129e-06,-9.9999999999981e-05
0.0275,0,0.60264769154394,0.60264769154394,0.99997818740635,0.99993243451365,0.9999747321747,0.99996943292455,6.9198324351852e-05,4.3210282869052e-21,6.204738649316e-06,2.8317558794216e-06,0.0099989233100342,-2.2706633309175e-05,2.2768217925931e-05,-2.9593680823014e-06,-4.9264632020171e-06,-4.683022912154e-06,0.9000333008198,0.89999689022368,2.5,2.5,-3.5446513918981e-06,-9.9999999999995e-05
0.03,0,0.60264769154394,0.60264769154394,0.99997806208898,0.99993261111995,0.99997485609828,0.9999695237461,6.8392736257467e-05,4.2525404458301e-21,6.1625852283126e-06,2.8277483562002e-06,0.0099988699618527,-2.1339272573747e-05,2.1407568520687e-05,-2.98658982726e-06,-4.9372064797558e-06,-4.6216314304434e-06,0.90003322360244,0.89999711454508,2.5,2.5,-3.5855790463707e-06,-9.9999999999997e-05
0.0325,0,0.60264769154394,0.60264769154394,0.99997790177536,0.99993278816954,0.9999749770231,0.99996961309519,6.75300146263e-05,4.1867697165646e-21,6.1242863085159e-06,2.8254511931409e-06,0.0099988195280739,-2.017351154684e-05,2.0245863111343e-05,-3.0146054077549e-06,-4.9470050567965e-06,-4.5635932673344e-06,0.90003314466079,0.89999736766479,2.5,2.5,-3.6242711551102e-06,-0.00010000000000001
0.035,0,0.60264769154394,0.60264769154394,0.99997771001169,0.99993296418426,0.99997509548256,0.99996970068355,6.6614880727138e-05,4.123475914615e-21,6.0891068319033e-06,2.8246731526413e-06,0.0099987716190093,-1.9163625830197e-05,1.9238348223432e-05,-3.0433718120225e-06,-4.9560395937361e-06,-4.5084602773044e-06,0.9000330650659,0.89999764687134,2.5,2.5,-3.6610264817957e-06,-9.9999999999989e-05
0.0375,0,0.60264769154394,0.60264769154394,0.99997749057013,0.99993313826043,0.99997521180672,0.99996978637285,6.5653435540534e-05,4.0624504547355e-21,6.0565065253751e-06,2.8252289579193e-06,0.0099987259260938,-1.8277166203006e-05,1.8353151330642e-05,-3.0728021397903e-06,-4.9644420016003e-06,-4.4558775508818e-06,0.90003298550665,0.89999794906676,2.5,2.5,-3.696081632745e-06,-0.00010000000000001
0.04,0,0.60264769154394,0.60264769154394,0.99997724723777,0.99993330984191,0.99997532618963,0.99996987011012,6.4652429746766e-05,4.0035121642227e-21,6.0393658320826e-06,2.8269431229862e-06,0.0099986822002614,-1.749033292992e-05,1.7566831027384e-05,-3.1027855286277e-06,-4.9723116863369e-06,-4.4055585730619e-06,0.90003290643593,0.89999827101733,2.5,2.5,-3.7296276179602e-06,-9.9999999999994e-05
0.0425,0,0.60264769154394,0.60264769154394,0.99997698366442,0.99993347858901,0.99997543873664,0.99996995189141,6.3618742806081e-05,3.9465034067716e-21,6.0252761296482e-06,2.8296528034164e-06,0.009998640237284,-1.6785190983788e-05,1.6861683172329e-05,-3.133201181142e-06,-4.9797255088752e-06,-4.3572683782494e-06,0.90003282815594,0.89999860953299,2.5,2.5,-3.7618210811663e-06,-0.00010000000000001
0.045,0,0.60264769154394,0.60264769154394,0.99997670326397,0.99993364429983,0.99997554949703,0.99997003174083,6.2559035251761e-05,3.8912866622687e-21,6.0113467162378e-06,2.8332094753193e-06,0.0099985998674925,-1.6147916595297e-05,1.6224037313665e-05,-3.1639277690166e-06,-4.9867441711168e-06,-4.3108117403054e-06,0.90003275087011,0.89999896158556,2.5,2.5,-3.7927921731299e-06,-9.999999999998e-05
0.0475,0,0.60264769154394,0.60264769154394,0.99997640915875,0.99993380686164,0.99997565848638,0.99997010969804,6.1479534618482e-05,3.8377415784653e-21,5.9976057282692e-06,2.8374795849704e-06,0.0099985609483644,-1.5567651246123e-05,1.5643139388929e-05,-3.1948493744086e-06,-4.993416466344e-06,-4.2660246533938e-06,0.90003267471561,0.89999932437893,2.5,2.5,-3.8226502310734e-06,-0.00010000000000001
0.05,0,0.60264769154394,0.60264769154394,0.99997610415551,0.99993396622017,0.99997576570142,0.99997018581085,6.0385918851563e-05,3.7857624577399e-21,5.9840725222645e-06,2.8423444172894e-06,0.0099985233590431,-1.5035728526735e-05,1.511039577045e-05,-3.2258589418375e-06,-4.9997822000926e-06,-4.2227680330999e-06,0.9000325997843,0.89999969538404,2.5,2.5,-3.8514879779336e-06,-0.00010000000000002
0.0525,0,0.60264769154394,0.60264769154394,0.99997579074338,0.99993412235978,0.99997587112984,0.99997026013066,5.9283267422711e-05,3.7352561247906e-21,5.9707602856741e-06,2.8476994312821e-06,0.0099984869961982,-1.4545137938375e-05,1.4618847699955e-05,-3.2568600071678e-06,-5.0058742540772e-06,-4.18092295749e-06,0.90003252613654,0.90000007234956,2.5,2.5,-3.8793846950038e-06,-9.999999999999e-05
0.055,0,0.60264769154394,0.60264769154394,0.99997547110594,0.99993427529052,0.99997597475641,0.99997033270986,5.8176057225596e-05,3.686140120694e-21,5.9576778010769e-06,2.853453270398e-06,0.0099984517708388,-1.4090143789294e-05,1.4162796945855e-05,-3.2877672799284e-06,-5.0117200809125e-06,-4.1403870027588e-06,0.90003245381042,0.90000045329654,2.5,2.5,-3.9064086648287e-06,-0.0001
