time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,-0.037912063065438,0.57737298283364,0.61528504589908,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.0025,-0.037912063065438,0.57737298283364,0.61528504589908,0.99999509989812,0.99998325615309,0.999993655617,0.99999226198337,1.8491106001705e-05,1.3259065375139e-21,1.8463277400336e-06,7.8172660160758e-07,0.0099999179376396,-3.2824944165477e-05,2.4867783788992e-05,-6.6519924600641e-07,-1.1534265195835e-06,-1.3701566813973e-06,0.90000810538297,0.89999870014063,2.5,2.5,-7.5322887906741e-07,-2.4999999999995e-05
0.005,-0.037912063065438,0.57737298283364,0.61528504589908,0.99999029843791,0.99996617972542,0.99998737487785,0.99998445740182,3.6907960359421e-05,2.5969269624536e-21,3.5671011693334e-06,1.5541870400618e-06,0.0099997968376609,-4.8439991471262e-05,3.9991781059895e-05,-1.3415885304215e-06,-2.3407566456102e-06,-2.6955842070834e-06,0.90001645046512,0.89999736877042,2.5,2.5,-1.5362771952781e-06,-5.0000000000012e-05
0.0075,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998554157313,0.99994903277029,0.99998114790385,0.9999766518608,5.5175018385376e-05,3.832975398847e-21,5.2325512393429e-06,2.3199297591016e-06,0.0099996466997038,-6.0055182830007e-05,5.1462489783942e-05,-2.026556054066e-06,-3.5425443421484e-06,-3.9877372475e-06,0.90002485844843,0.89999604564047,2.5,2.5,-2.3415085016682e-06,-7.5000000000004e-05
0.01,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998081423103,0.99993188718337,0.99997496596423,0.99996886334884,7.330039956356e-05,5.0399478081749e-21,6.8640878793066e-06,3.0802913542976e-06,0.0099994726261909,-6.9629405161659e-05,6.0983518889231e-05,-2.7188674493364e-06,-4.7530376337265e-06,-5.2524562306901e-06,0.90003328081577,0.89999473645889,2.5,2.5,-3.1650291795385e-06,-0.0001
0.0125,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998100543316,0.99993151353426,0.99997516770615,0.99996883597168,7.2796365419456e-05,4.8950973067485e-21,6.62491721326e-06,3.0544651272213e-06,0.0099993598788781,-4.5098925136736e-05,4.439173682759e-05,-2.752696667727e-06,-4.8163159999514e-06,-5.1232472890324e-06,0.90003359249431,0.89999474594589,2.5,2.5,-3.2511684739783e-06,-9.9999999999993e-05
0.015,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998110550353,0.9999315121217,0.99997534117742,0.99996890040567,7.2223899655227e-05,4.7814106272881e-21,6.4921926527051e-06,3.0341812589933e-06,0.0099992676744095,-3.6881787426375e-05,3.6663486305976e-05,-2.7817821952377e-06,-4.8505517815488e-06,-5.0175630421988e-06,0.90003365176031,0.89999481200848,2.5,2.5,-3.3216246385346e-06,-9.9999999999998e-05
0.0175,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998115720165,0.99993162619197,0.99997549344515,0.99996899160438,7.1648475597724e-05,4.6806706563928e-21,6.3990026921832e-06,3.0175304877492e-06,0.0099991876943977,-3.1992004728125e-05,3.1924679591645e-05,-2.8086928716617e-06,-4.874352756041e-06,-4.9258746608704e-06,0.90003363117066,0.89999490252309,2.5,2.5,-3.3827502260875e-06,-9.999999999998e-05
0.02,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998116414322,0.9999317861989,0.99997563115548,0.99996909145141,7.1048290525771e-05,4.5883656059443e-21,6.3262131432461e-06,3.0037492536913e-06,0.0099991161572138,-2.8614873543957e-05,2.8612193700343e-05,-2.8347640616252e-06,-4.8929015333808e-06,-4.8438550083992e-06,0.90003357701767,0.89999502021723,2.5,2.5,-3.4374299943989e-06,-0.00010000000000003
0.0225,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998112613929,0.99993196625801,0.9999757584523,0.99996919341525,7.0404447676376e-05,4.5025008005991e-21,6.2659460195149e-06,2.9924360966162e-06,0.0099990509363391,-2.6088349879634e-05,2.6118557631314e-05,-2.8608071440354e-06,-4.9082801207406e-06,-4.7690707564212e-06,0.90003350672111,0.89999516899053,2.5,2.5,-3.4872861623868e-06,-9.9999999999983e-05
