time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,1,1,1,1,0,0,0.16,0,0,0,0,0.6,0.6,28,28,0
0.002,0.98290602463056,0.97612440026449,0.98951918608012,0.98862866526095,0.20618076123919,0.017159101819992,0.15858016282237,-0.70991858863966,0.37480631843744,-0.0054276738489247,-0.0054276738489568,0.6080744274794,0.60349364343078,28.118814662222,28.010462782473,-1.4000000001787
0.004,0.98248386139371,0.97557668430076,0.98937060516545,0.98845797228014,0.20579032349634,0.016193916194029,0.15794224359623,-0.31895961307135,0.28161158597381,-0.0055154730002925,-0.0055154730002925,0.60832093451721,0.6036498851733,28.11836668552,28.007853869558,-1.4
0.006,0.98199656130063,0.97517973018139,0.98924621157466,0.98833825035312,0.20122816276677,0.01542012531891,0.15743272204042,-0.25476077790471,0.23311655690792,-0.0055856126777301,-0.0055856126777301,0.60848903405796,0.60387774156973,28.115510244202,28.006501349849,-1.4
0.008,0.98144939491801,0.97485832407104,0.98913719177856,0.98825083460925,0.19351022357011,0.014756369624532,0.15699657465249,-0.2180736939667,0.20321523508197,-0.0056456605412037,-0.0056456605412037,0.60861990304156,0.60416204595399,28.110906934048,28.005668226551,-1.4
0.01,0.98087326529816,0.97458169177405,0.98903911871647,0.98818399589388,0.1839571920595,0.014165942262101,0.15660917771737,-0.19369846755887,0.18229579733409,-0.0056990171506071,-0.0056990171506071,0.60872985155857,0.60447659231308,28.105322090509,28.00508554829,-1.4
0.012,0.98029518058149,0.97433531298741,0.98894952967139,0.98813028184679,0.17360390678337,0.013629955912778,0.15625791110873,-0.1756333043181,0.16623013432803,-0.0057474261807602,-0.0057474261807602,0.60882635333912,0.60480036983264,28.099329259646,28.004638099446,-1.4
0.014,0.97973226169681,0.97411152493744,0.98886694798755,0.98808516809677,0.16310360287029,0.013137676759253,0.15593561126541,-0.16114992166335,0.1530297908515,-0.0057918751159122,-0.0057918751159122,0.60891324552513,0.6051202002746,28.093283420206,28.004270434201,-1.4
0.016,0.97919375296191,0.97390591710515,0.98879042178767,0.98804597034713,0.15282529572633,0.01268247019699,0.15563784816351,-0.14888155094953,0.141661988123,-0.0058329719564448,-0.0058329719564448,0.60899267265824,0.60542880616628,28.087382765029,28.003953768563,-1.4
0.018,0.97868391576218,0.97371574730258,0.9887192892464,0.98801109475146,0.14296056836898,0.012259891449102,0.1553616504162,-0.13809887365237,0.13156270724726,-0.0058711223232209,-0.0058711223232209,0.60906592289787,0.60572259481447,28.081729042214,28.003672389328,-1.4
0.02,0.9782041451007,0.97353917369298,0.9886530542877,0.98797957527431,0.13359839168052,0.011866717784789,0.15510486133743,-0.12839453938708,0.12241119800879,-0.0059066191251822,-0.0059066191251822,0.6091338277559,0.60600009648021,28.076368616983,28.003417364989,-1.4
0.022,0.9777542755846,0.97337485923587,0.98859131930262,0.98795080369091,0.12477077349247,0.011500436868394,0.15486579902704,-0.11953115519361,0.11401710177139,-0.005939689922876,-0.005939689922876,0.60919696623132,0.60626101051168,28.071317240383,28.003183398486,-1.4
0.024,0.97733333380093,0.97322176086801,0.98853374821095,0.98792437621965,0.11647903366563,0.011158969548998,0.15464307220413,-0.1113634114554,0.10626137406786,-0.0059705225651883,-0.0059705225651883,0.60925577302253,0.60650565653767,28.066574232703,28.002967180115,-1.4
0.026,0.97693995745155,0.97307901485905,0.98848004591619,0.98790000745364,0.10870851120428,0.010840517074195,0.15443547855827,-0.10379682292866,0.099064625657982,-0.0059992793019053,-0.0059992793019053,0.60931059710905,0.606734667715,28.062130402031,28.002766504862,-1.4
0.028,0.97657262408083,0.97294587353674,0.98842994668523,0.98787748223599,0.10143667080906,0.010543475443607,0.15424194760144,-0.096765478416449,0.092369944632962,-0.0060261046814175,-0.0060261046814175,0.60936173390585,0.60694882211446,28.057972402225,28.002579793464,-1.4
0.03,0.97622977362888,0.97282166981306,0.98838320741025,0.98785662869038,0.094637522555265,0.01026638631456,0.15406150775499,-0.090219923238847,0.086133507298037,-0.006051130067173,-0.0060511300671812,0.60940944313895,0.6071489512581,28.054085105717,28.002405830665,-1.399999999999
0.032,0.97590987251545,0.97270579686492,0.98833960354444,0.98783730298879,0.08828400402905,0.01000790792332,0.15389326672466,-0.084120515164162,0.080319415674819,-0.0060744763041926,-0.0060744763041926,0.6094539589474,0.60733589128157,28.050452880254,28.002243621319,-1.4
0.034,0.97561144581459,0.97259769610757,0.98829892653391,0.98781938061909,0.082349243030528,0.0097667970306446,0.15373639921324,-0.078433755733889,0.07489683837861,-0.0060962553675646,-0.0060962553675708,0.60949549573787,0.60751045748755,28.047060263751,28.002092310746,-1.400000000004
0.036,0.97533309207736,0.97249684975253,0.98826098205452,0.98780275126286,0.076807207602456,0.0095418969876314,0.1535901387234,-0.07313024492437,0.069838409449901,-0.0061165714469407,-0.0061165714469456,0.60953425170084,0.60767343169649,28.043892309891,28.00195114016,-1.4000000000004
0.038,0.97507348886118,0.97240277587527,0.98822558872695,0.98778731568248,0.071633022059584,0.0093321292459514,0.15345377167859,-0.068183522420448,0.065119315395258,-0.006135521714092,-0.0061355217140961,0.60957041104859,0.60782555654298,28.040934754301,28.0018194213,-1.4000000000073
0.04,0.97483139331463,0.97231502493139,0.98819257710397,0.98777298373868,0.066803101614928,0.0091364868486187,0.1533266328889,-0.063569394851578,0.060716759320595,-0.0061531969087999,-0.0061531969088035,0.60960414552816,0.60796753352957,28.038174083385,28.001696521563,-1.4000000000053
0.042,0.97460564020423,0.97223317706866,0.98816178881959,0.98775967304881,0.062295189448492,0.0089540291002685,0.15320810182944,-0.059265529725723,0.056609632556904,-0.006169681817136,-0.0061696818171398,0.60963561553716,0.6081000230833,28.035597550874,28.001581854917,-1.3999999999932
0.044,0.97439513867379,0.97215683994914,0.98813307584122,0.98774730802779,0.058088341867967,0.0087838769776935,0.15309759943579,-0.055251196817972,0.052778301036821,-0.0061850556825603,-0.0061850556825631,0.60966497099649,0.60822364565951,28.033193166636,28.001474876018,-1.3999999999975
0.046,0.9741988684499,0.97208564684607,0.98810629979697,0.98773581914687,0.054162886614651,0.0086252090352395,0.15299458525219,-0.051507091793724,0.049204455930793,-0.0061993925722634,-0.0061993925722658,0.60969235209147,0.60833898336524,28.030949671223,28.001375076101,-1.4000000000021
0.048,0.9740158758549,0.97201925496627,0.98808133136106,0.98772514233993,0.050500368021747,0.0084772576702108,0.15289855483951,-0.048015206341835,0.045871000922837,-0.0062127617112839,-0.0062127617112858,0.60971788991485,0.60844658182107,28.028856503497,28.001281979889,-1.3999999999998
0.05,0.97384526983391,0.97195734390463,0.98805804967474,0.98771521850437,0.047083486461981,0.0083393056708958,0.15280903738826,-0.044758725619397,0.042761961013751,-0.006225227791459,-0.0062252277914609,0.60974170705278,0.60854695210396,28.026903765357,28.001195143097,-1.3999999999953
0.052,0.97368621809435,0.97189961422272,0.98803634181272,0.98770599306437,0.043896036136285,0.0082106829986214,0.15272559350401,-0.041721942126254,0.039862404678907,-0.0062368512594596,-0.0062368512594612,0.60976391812113,0.60864057268898,28.025082185713,28.001114150304,-1.4000000000024
0.054,0.97353794341255,0.97184578612049,0.98801610227911,0.98769437227439,0.04092284339401,0.0080907637780784,0.15264781314343,-0.038890180293728,0.037158374724624,-0.0062476885864012,-0.0062476885864025,0.60978463026557,0.60872789134406,28.023383084897,28.001038613058,-1.4000000000033
0.056,0.97339972012768,0.97179559818511,0.98799723253369,0.98767464696266,0.038149706755174,0.0079789634733096,0.15257531368641,-0.036249728508836,0.034636825424982,-0.0062577925209292,-0.0062577925209306,0.6098039436321,0.60880932695515,28.021798340124,28.000968168154,-1.3999999999981
0.058,0.97327087082653,0.97174880622804,0.98797964054843,0.98765625613032,0.035563339232748,0.0078747362377056,0.15250773813312,-0.033787776648284,0.032285564425417,-0.006267212326888,-0.0062672123268891,0.60982195180503,0.60888527127183,28.020320352323,28.000902476041,-1.4000000000023
0.06,0.97315076322463,0.97170518218425,0.98796324039026,0.98763911018915,0.03315131321947,0.0077775724250274,0.15244475341678,-0.031492358167828,0.030093198619114,-0.0062759940066175,-0.0062759940066184,0.60983874222164,0.60895609056686,28.01894201447,28.000841219337,-1.3999999999998
0.062,0.9730388072316,0.97166451308084,0.98794795182818,0.98762312547496,0.03090200808942,0.0076869962521765,0.1523860488247,-0.029352296043866,0.028049083487301,-0.0062841805108025,-0.0062841805108033,0.60985439656133,0.60902212721025,28.017656681508,28.000784101433,-1.400000000001
0.064,0.97293445219684,0.97162660006646,0.98793369996491,0.98760822386721,0.028804560488458,0.0076025636055959,0.1523313345204,-0.027357152148181,0.026143275545447,-0.006291811935507,-0.0062918119355077,0.60986899111222,0.60908370115855,28.016458141815,28.000730845186,-1.4000000000004
0.066,0.97283718432648,0.9715912575005,0.98792041489172,0.98759433243212,0.026848817303696,0.0075238599820043,0.15228034016087,-0.02549717976847,0.024366487673933,-0.0062989257072029,-0.0062989257072035,0.60988259711566,0.60914111136097,28.015340590233,28.000681191686,-1.4000000000017
0.068,0.97274652426137,0.97155831209856,0.9879080313628,0.98758138308768,0.02502529121852,0.0074504985576484,0.15223281360279,-0.023763279041239,0.022710047122823,-0.0063055567563696,-0.0063055567563701,0.60989528108993,0.6091946370862,28.014298602578,28.0006348991,-1.3999999999995
0.07,0.97266202480804,0.97152760212768,0.98789648849148,0.9875693122879,0.023325118781075,0.0073821183769799,0.15218851969249,-0.022146955147123,0.021165856071152,-0.0063117376803878,-0.0063117376803884,0.6099071051353,0.60924453917244,28.01332711161,28.00059174158,-1.3999999999998
0.072,0.97258326881466,0.97149897665514,0.98788572946497,0.98755806072828,0.02174002087094,0.0073183826557677,0.1521472391344,-0.020640279044036,0.019726354551245,-0.0063174988962147,-0.0063174988962151,0.6099181272193,0.6092910612041,28.012421384373,28.00055150824,-1.3999999999998
0.074,0.9725098671818,0.97147229484061,0.9878757012762,0.98754757306805,0.02026226548026,0.0072589771908468,0.1521087674331,-0.019235850649502,0.018384485637189,-0.0063228687835162,-0.0063228687835165,0.60992840144561,0.60933443061877,28.011577000874,28.000514002192,-1.3999999999999
0.076,0.97244145700134,0.97144742527452,0.98786635447365,0.98753779767052,0.01888463268018,0.0072036088707676,0.15207291390449,-0.017926764307268,0.017133662781494,-0.0063278738187494,-0.0063278738187497,0.6099379783058,0.60937485974784,28.010789834019,28.000479039642,-1.4
0.078,0.9723776998159,0.97142424535819,0.98785764292666,0.98752868635993,0.017600381689788,0.0071520042816513,0.15203950075169,-0.016706576399701,0.015967739149838,-0.0063325387007243,-0.0063325387007246,0.60994690491535,0.60941254679368,28.010056030748,28.00044644904,-1.3999999999996
0.08,0.97231827999074,0.97140264072186,0.98784952360563,0.98752019419286,0.01640321992738,0.0071039084020977,0.15200836220167,-0.015569275012993,0.014880978880075,-0.006336886468166,-0.0063368864681663,0.60995522523535,0.60944767674734,28.009371994322,28.000416070283,-1.3999999999999
0.082,0.97226290319126,0.97138250468171,0.98784195637656,0.98751227924527,0.015287273950106,0.007059083382363,0.15197934369866,-0.01450925150325,0.013868030128463,-0.0063409386097245,-0.0063409386097247,0.60996298027964,0.60948042224954,28.008734367682,28.000387753968,-1.3999999999998
0.084,0.97221129496024,0.9713637377302,0.98783490380858,0.98750490241231,0.014247062179767,0.0070173074022382,0.15195230115089,-0.013521273885283,0.012923899821927,-0.0063447151669114,-0.0063447151669116,0.6099702083093,0.60951094439813,28.008140017839,28.00036136069,-1.4000000000004
