time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0003,1.1102230246252e-16,0.6,0.6,0.99998731889212,0.99997295000269,0.99998747154066,0.99998640717848,3.5805481070561e-05,5.2225884286913e-05,-2.8416840750611e-05,-3.416439652153e-05,0.0099999465517568,-0.00034518657071817,0.00012127979122595,-6.5394732788429e-06,-6.5394732788431e-06,0.90001306973771,0.89999917944732,2.5,2.5,-0.0001
0.0006,1.1102230246252e-16,0.6,0.6,0.9999873012939,0.99997258015747,0.99998747876922,0.99998638831432,3.585517138888e-05,5.2067064937341e-05,-2.8323355014281e-05,-3.4211809555829e-05,0.0099999211312084,-0.00016417437458641,8.0168575317707e-05,-6.5485486605085e-06,-6.5485486766237e-06,0.90001340911788,0.89999917830833,2.5,2.5,-9.9999999999387e-05
0.0009,1.1102230246252e-16,0.6,0.6,0.99998728784366,0.99997241059942,0.99998747591549,0.99998637389713,3.5893148548713e-05,5.1945683066868e-05,-2.829714847119e-05,-3.424804609562e-05,0.0099999017028828,-0.00012547460062199,6.2798393407985e-05,-6.555484772523e-06,-6.5554847827026e-06,0.90001355915826,0.89999917743799,2.5,2.5,-9.9999999993456e-05
0.0012,1.1102230246252e-16,0.6,0.6,0.99998727657441,0.99997230800639,0.99998747060088,0.9999863618178,3.5924967270586e-05,5.1843984655465e-05,-2.82909793071e-05,-3.4278406434551e-05,0.0099998854250832,-0.00010512745627179,5.3147931423082e-05,-6.5612961122156e-06,-6.5612961193788e-06,0.9000136467127,0.89999917670886,2.5,2.5,-0.00010000000001671
0.0015,1.1102230246252e-16,0.6,0.6,0.99998726668516,0.99997223568247,0.99998746462548,0.9999863512177,3.5952889599903e-05,5.1754739916165e-05,-2.8292647926964e-05,-3.4305048918748e-05,0.0099998711406139,-9.2253862233179e-05,4.6878706667145e-05,-6.5663958119244e-06,-6.5663958171789e-06,0.90001370642904,0.899999176069,2.5,2.5,-0.0001000000000279
0.0018,1.1102230246252e-16,0.6,0.6,0.99998725776676,0.99997217995859,0.99998745853301,0.99998634165819,3.5978070808853e-05,5.1674256155436e-05,-2.8297952766954e-05,-3.4329076009376e-05,0.0099998582584206,-8.3197496851251e-05,4.2405016773943e-05,-6.5709948847499e-06,-6.570994889103e-06,0.90001375109939,0.89999917549195,2.5,2.5,-0.00010000000001143
0.0021,1.1102230246252e-16,0.6,0.6,0.99998724957843,0.99997213454245,0.9999874525137,0.9999863328812,3.6001190685064e-05,5.1600360738944e-05,-2.8305121898486e-05,-3.4351136261557e-05,0.0099998464307554,-7.6387003500873e-05,3.9011372650398e-05,-6.575217480193e-06,-6.5752174836857e-06,0.90001378655806,0.89999917496213,2.5,2.5,-0.00010000000000978
0.0024,1.1102230246252e-16,0.6,0.6,0.99998724196468,0.99997209608941,0.9999874466369,0.9999863247201,3.6022688236896e-05,5.1531650581701e-05,-2.8313298437888e-05,-3.4371648515119e-05,0.0099998354330405,-7.1026908898139e-05,3.6324929552023e-05,-6.5791437751792e-06,-6.5791437782749e-06,0.90001381587815,0.89999917446948,2.5,2.5,-9.9999999992905e-05
0.0027,1.1102230246252e-16,0.6,0.6,0.99998723481824,0.99997206263114,0.99998744092579,0.99998631705997,3.6042866072302e-05,5.146715830105e-05,-2.8322026778449e-05,-3.4390901583525e-05,0.0099998251104362,-6.6666822334317e-05,3.4130649192352e-05,-6.5828290484769e-06,-6.5828290511756e-06,0.90001384085174,0.89999917400713,2.5,2.5,-9.9999999983878e-05
0.003,1.1102230246252e-16,0.6,0.6,0.99998722806163,0.99997203292061,0.99998743538379,0.99998630981766,3.6061943087043e-05,5.140618383769e-05,-2.833104812241e-05,-3.4409104452826e-05,0.0099998153508935,-6.3030379461883e-05,3.22949072577e-05,-6.5863133032945e-06,-6.5863133056698e-06,0.9000138626044,0.89999917357002,2.5,2.5,-9.9999999995583e-05
