id,p,ux,uy,x,y,z
0,4.9662083052464e-05,0,0,0,0,0
0.01,4.9656907931886e-05,2.7925525700075e-07,0,0.01,0,0
0.02,4.9651732811308e-05,5.571851543071e-07,0,0.02,0,0
0.03,4.9646557690729e-05,8.3378969191906e-07,0,0.03,0,0
0.04,4.9641382570151e-05,1.1090688698366e-06,0,0.04,0,0
0.05,4.9636207449573e-05,1.3830226880598e-06,0,0.05,0,0
0.06,4.9631032328995e-05,1.6556511465885e-06,0,0.06,0,0
0.07,4.9625857208416e-05,1.9269542454229e-06,0,0.07,0,0
0.08,4.9620682087838e-05,2.1969319845629e-06,0,0.08,0,0
0.09,4.961550696726e-05,2.4655843640084e-06,0,0.09,0,0
0.1,4.9610331846682e-05,2.7329113837596e-06,0,0.1,0,0
0.11,4.9605156726104e-05,2.9989130438164e-06,0,0.11,0,0
0.12,4.9599981605525e-05,3.2635893441788e-06,0,0.12,0,0
0.13,4.9594806484947e-05,3.5269402848468e-06,0,0.13,0,0
0.14,4.9589631364369e-05,3.7889658658203e-06,0,0.14,0,0
0.15,4.9584456243791e-05,4.0496660870995e-06,0,0.15,0,0
0.16,4.9579281123213e-05,4.3090409486843e-06,0,0.16,0,0
0.17,4.9574106002634e-05,4.5670904505747e-06,0,0.17,0,0
0.18,4.9568930882056e-05,4.8238145927707e-06,0,0.18,0,0
0.19,4.9563755761478e-05,5.0792133752723e-06,0,0.19,0,0
0.2,4.95585806409e-05,5.3332867980795e-06,0,0.2,0,0
0.21,4.9553405520322e-05,5.5860348611923e-06,0,0.21,0,0
0.22,4.9548230399743e-05,5.8374575646107e-06,0,0.22,0,0
0.23,4.9543055279165e-05,6.0875549083347e-06,0,0.23,0,0
0.24,4.9537880158587e-05,6.3363268923643e-06,0,0.24,0,0
0.25,4.9532705038009e-05,6.5837735166996e-06,0,0.25,0,0
0.26,4.9558027146878e-05,6.8365762008447e-06,0,0.26,0,0
0.27,4.9583349255747e-05,7.0894562638899e-06,0,0.27,0,0
0.28,4.9608671364617e-05,7.3424137058351e-06,0,0.28,0,0
0.29,4.9633993473486e-05,7.5954485266803e-06,0,0.29,0,0
0.3,4.9659315582356e-05,7.8485607264255e-06,0,0.3,0,0
0.31,4.9684637691225e-05,8.1017503050707e-06,0,0.31,0,0
0.32,4.9709959800094e-05,8.3550172626159e-06,0,0.32,0,0
0.33,4.9735281908964e-05,8.6083615990611e-06,0,0.33,0,0
0.34,4.9760604017833e-05,8.8617833144063e-06,0,0.34,0,0
0.35,4.9785926126702e-05,9.1152824086515e-06,0,0.35,0,0
0.36,4.9811248235572e-05,9.3688588817968e-06,0,0.36,0,0
0.37,4.9836570344441e-05,9.622512733842e-06,0,0.37,0,0
0.38,4.9861892453311e-05,9.8762439647872e-06,0,0.38,0,0
0.39,4.988721456218e-05,1.0130052574632e-05,0,0.39,0,0
0.4,4.9912536671049e-05,1.0383938563378e-05,0,0.4,0,0
0.41,4.9937858779919e-05,1.0637901931023e-05,0,0.41,0,0
0.42,4.9963180888788e-05,1.0891942677568e-05,0,0.42,0,0
0.43,4.9988502997657e-05,1.1146060803014e-05,0,0.43,0,0
0.44,5.0013825106527e-05,1.1400256307359e-05,0,0.44,0,0
0.45,5.0039147215396e-05,1.1654529190604e-05,0,0.45,0,0
0.46,5.0064469324266e-05,1.1908879452749e-05,0,0.46,0,0
0.47,5.0089791433135e-05,1.2163307093795e-05,0,0.47,0,0
0.48,5.0115113542004e-05,1.241781211374e-05,0,0.48,0,0
0.49,5.0140435650874e-05,1.2672394512585e-05,0,0.49,0,0
0.5,5.0165757759743e-05,1.2927054290331e-05,0,0.5,0,0
0.51,5.0212005387784e-05,1.3181445144037e-05,0,0.51,0,0
0.52,5.0258253015824e-05,1.3435984673669e-05,0,0.52,0,0
0.53,5.0304500643865e-05,1.3690672879226e-05,0,0.53,0,0
0.54,5.0350748271905e-05,1.3945509760707e-05,0,0.54,0,0
0.55,5.0396995899946e-05,1.4200495318114e-05,0,0.55,0,0
0.56,5.0443243527987e-05,1.4455629551446e-05,0,0.56,0,0
0.57,5.0489491156027e-05,1.4710912460704e-05,0,0.57,0,0
0.58,5.0535738784068e-05,1.4966344045886e-05,0,0.58,0,0
0.59,5.0581986412108e-05,1.5221924306993e-05,0,0.59,0,0
0.6,5.0628234040149e-05,1.5477653244026e-05,0,0.6,0,0
0.61,5.0674481668189e-05,1.5733530856983e-05,0,0.61,0,0
0.62,5.072072929623e-05,1.5989557145866e-05,0,0.62,0,0
0.63,5.0766976924271e-05,1.6245732110673e-05,0,0.63,0,0
0.64,5.0813224552311e-05,1.6502055751406e-05,0,0.64,0,0
0.65,5.0859472180352e-05,1.6758528068064e-05,0,0.65,0,0
0.66,5.0905719808392e-05,1.7015149060647e-05,0,0.66,0,0
0.67,5.0951967436433e-05,1.7271918729155e-05,0,0.67,0,0
0.68,5.0998215064473e-05,1.7528837073588e-05,0,0.68,0,0
0.69,5.1044462692514e-05,1.7785904093946e-05,0,0.69,0,0
0.7,5.1090710320555e-05,1.8043119790229e-05,0,0.7,0,0
0.71,5.1136957948595e-05,1.8300484162438e-05,0,0.71,0,0
0.72,5.1183205576636e-05,1.8557997210571e-05,0,0.72,0,0
0.73,5.1229453204676e-05,1.881565893463e-05,0,0.73,0,0
0.74,5.1275700832717e-05,1.9073469334613e-05,0,0.74,0,0
0.75,5.1321948460757e-05,1.9331428410522e-05,0,0.75,0,0
0.76,4.9269070522327e-05,1.9586392874475e-05,0,0.76,0,0
0.77,4.7216192583897e-05,1.9835195247051e-05,0,0.77,0,0
0.78,4.5163314645467e-05,2.0077835528248e-05,0,0.78,0,0
0.79,4.3110436707036e-05,2.0314313718068e-05,0,0.79,0,0
0.8,4.1057558768606e-05,2.0544629816511e-05,0,0.8,0,0
0.81,3.9004680830176e-05,2.0768783823576e-05,0,0.81,0,0
0.82,3.6951802891745e-05,2.0986775739263e-05,0,0.82,0,0
0.83,3.4898924953315e-05,2.1198605563572e-05,0,0.83,0,0
0.84,3.2846047014885e-05,2.1404273296504e-05,0,0.84,0,0
0.85,3.0793169076454e-05,2.1603778938058e-05,0,0.85,0,0
0.86,2.8740291138024e-05,2.1797122488235e-05,0,0.86,0,0
0.87,2.6687413199594e-05,2.1984303947034e-05,0,0.87,0,0
0.88,2.4634535261164e-05,2.2165323314455e-05,0,0.88,0,0
0.89,2.2581657322733e-05,2.2340180590499e-05,0,0.89,0,0
0.9,2.0528779384303e-05,2.2508875775165e-05,0,0.9,0,0
0.91,1.8475901445873e-05,2.2671408868453e-05,0,0.91,0,0
0.92,1.6423023507442e-05,2.2827779870364e-05,0,0.92,0,0
0.93,1.4370145569012e-05,2.2977988780897e-05,0,0.93,0,0
0.94,1.2317267630582e-05,2.3122035600052e-05,0,0.94,0,0
0.95,1.0264389692151e-05,2.325992032783e-05,0,0.95,0,0
0.96,8.2115117537212e-06,2.339164296423e-05,0,0.96,0,0
0.97,6.1586338152909e-06,2.3517203509252e-05,0,0.97,0,0
0.98,4.1057558768606e-06,2.3636601962897e-05,0,0.98,0,0
0.99,2.0528779384303e-06,2.3749838325164e-05,0,0.99,0,0
1,-1.150871102048e-45,2.3856912596054e-05,0,1,0,0
