id,p,ux,uy,x,y,z
0,3.5963621105535e-05,0,0,0,0,0
0.01,3.5970605158468e-05,5.2990055561139e-07,0,0.01,0,0
0.02,3.5977589211402e-05,1.0598310428783e-06,0,0.02,0,0
0.03,3.5984573264335e-05,1.5897914618007e-06,0,0.03,0,0
0.04,3.5991557317268e-05,2.1197818123786e-06,0,0.04,0,0
0.05,3.5998541370201e-05,2.649802094612e-06,0,0.05,0,0
0.06,3.6005525423134e-05,3.1798523085009e-06,0,0.06,0,0
0.07,3.6012509476068e-05,3.7099324540453e-06,0,0.07,0,0
0.08,3.6019493529001e-05,4.2400425312452e-06,0,0.08,0,0
0.09,3.6026477581934e-05,4.7701825401006e-06,0,0.09,0,0
0.1,3.6033461634867e-05,5.3003524806115e-06,0,0.1,0,0
0.11,3.6040445687801e-05,5.830552352778e-06,0,0.11,0,0
0.12,3.6047429740734e-05,6.3607821565999e-06,0,0.12,0,0
0.13,3.6054413793667e-05,6.8910418920773e-06,0,0.13,0,0
0.14,3.60613978466e-05,7.4213315592103e-06,0,0.14,0,0
0.15,3.6068381899533e-05,7.9516511579987e-06,0,0.15,0,0
0.16,3.6075365952467e-05,8.4820006884426e-06,0,0.16,0,0
0.17,3.60823500054e-05,9.0123801505421e-06,0,0.17,0,0
0.18,3.6089334058333e-05,9.542789544297e-06,0,0.18,0,0
0.19,3.6096318111266e-05,1.0073228869707e-05,0,0.19,0,0
0.2,3.61033021642e-05,1.0603698126773e-05,0,0.2,0,0
0.21,3.6110286217133e-05,1.1134197315495e-05,0,0.21,0,0
0.22,3.6117270270066e-05,1.1664726435872e-05,0,0.22,0,0
0.23,3.6124254322999e-05,1.2195285487904e-05,0,0.23,0,0
0.24,3.6131238375932e-05,1.2725874471592e-05,0,0.24,0,0
0.25,3.6138222428866e-05,1.3256493386936e-05,0,0.25,0,0
0.26,3.6098740087069e-05,1.3787042663088e-05,0,0.26,0,0
0.27,3.6059257745273e-05,1.4317422729203e-05,0,0.27,0,0
0.28,3.6019775403477e-05,1.4847633585283e-05,0,0.28,0,0
0.29,3.598029306168e-05,1.5377675231326e-05,0,0.29,0,0
0.3,3.5940810719884e-05,1.5907547667333e-05,0,0.3,0,0
0.31,3.5901328378088e-05,1.6437250893303e-05,0,0.31,0,0
0.32,3.5861846036291e-05,1.6966784909238e-05,0,0.32,0,0
0.33,3.5822363694495e-05,1.7496149715136e-05,0,0.33,0,0
0.34,3.5782881352699e-05,1.8025345310997e-05,0,0.34,0,0
0.35,3.5743399010902e-05,1.8554371696823e-05,0,0.35,0,0
0.36,3.5703916669106e-05,1.9083228872612e-05,0,0.36,0,0
0.37,3.566443432731e-05,1.9611916838365e-05,0,0.37,0,0
0.38,3.5624951985513e-05,2.0140435594082e-05,0,0.38,0,0
0.39,3.5585469643717e-05,2.0668785139762e-05,0,0.39,0,0
0.4,3.5545987301921e-05,2.1196965475406e-05,0,0.4,0,0
0.41,3.5506504960124e-05,2.1724976601014e-05,0,0.41,0,0
0.42,3.5467022618328e-05,2.2252818516586e-05,0,0.42,0,0
0.43,3.5427540276532e-05,2.2780491222121e-05,0,0.43,0,0
0.44,3.5388057934735e-05,2.330799471762e-05,0,0.44,0,0
0.45,3.5348575592939e-05,2.3835329003083e-05,0,0.45,0,0
0.46,3.5309093251143e-05,2.4362494078509e-05,0,0.46,0,0
0.47,3.5269610909346e-05,2.4889489943899e-05,0,0.47,0,0
0.48,3.523012856755e-05,2.5416316599253e-05,0,0.48,0,0
0.49,3.5190646225754e-05,2.5942974044571e-05,0,0.49,0,0
0.5,3.5151163883957e-05,2.6469462279852e-05,0,0.5,0,0
0.51,3.5406864277474e-05,2.699641383953e-05,0,0.51,0,0
0.52,3.5662564670992e-05,2.7524461258037e-05,0,0.52,0,0
0.53,3.5918265064509e-05,2.8053604535374e-05,0,0.53,0,0
0.54,3.6173965458026e-05,2.8583843671539e-05,0,0.54,0,0
0.55,3.6429665851543e-05,2.9115178666535e-05,0,0.55,0,0
0.56,3.668536624506e-05,2.9647609520359e-05,0,0.56,0,0
0.57,3.6941066638578e-05,3.0181136233013e-05,0,0.57,0,0
0.58,3.7196767032095e-05,3.0715758804496e-05,0,0.58,0,0
0.59,3.7452467425612e-05,3.1251477234809e-05,0,0.59,0,0
0.6,3.7708167819129e-05,3.1788291523951e-05,0,0.6,0,0
0.61,3.7963868212646e-05,3.2326201671922e-05,0,0.61,0,0
0.62,3.8219568606164e-05,3.2865207678723e-05,0,0.62,0,0
0.63,3.8475268999681e-05,3.3405309544353e-05,0,0.63,0,0
0.64,3.8730969393198e-05,3.3946507268813e-05,0,0.64,0,0
0.65,3.8986669786715e-05,3.4488800852101e-05,0,0.65,0,0
0.66,3.9242370180232e-05,3.503219029422e-05,0,0.66,0,0
0.67,3.9498070573749e-05,3.5576675595167e-05,0,0.67,0,0
0.68,3.9753770967267e-05,3.6122256754944e-05,0,0.68,0,0
0.69,4.0009471360784e-05,3.6668933773551e-05,0,0.69,0,0
0.7,4.0265171754301e-05,3.7216706650986e-05,0,0.7,0,0
0.71,4.0520872147818e-05,3.7765575387251e-05,0,0.71,0,0
0.72,4.0776572541335e-05,3.8315539982346e-05,0,0.72,0,0
0.73,4.1032272934853e-05,3.886660043627e-05,0,0.73,0,0
0.74,4.128797332837e-05,3.9418756749023e-05,0,0.74,0,0
0.75,4.1543673721887e-05,3.9972008920605e-05,0,0.75,0,0
0.76,3.9881926773012e-05,4.0522248135284e-05,0,0.76,0,0
0.77,3.8220179824136e-05,4.1065365577325e-05,0,0.77,0,0
0.78,3.6558432875261e-05,4.1601361246727e-05,0,0.78,0,0
0.79,3.4896685926385e-05,4.2130235143492e-05,0,0.79,0,0
0.8,3.323493897751e-05,4.2651987267618e-05,0,0.8,0,0
0.81,3.1573192028634e-05,4.3166617619107e-05,0,0.81,0,0
0.82,2.9911445079759e-05,4.3674126197957e-05,0,0.82,0,0
