time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.000000000000000000e+00,4.795204795204799673e-05,4.795204795204794930e-05,-4.182484182484200228e-06,-4.182484182484183287e-06,2.484182484182500132e-05,2.484182484182483869e-05
2.000000000000000042e-03,4.892351291943800078e-05,4.899011682735328278e-05,-4.267261752786800387e-06,-4.273026856608043036e-06,2.399404913879900141e-05,2.393639810058624119e-05
4.000000000000000083e-03,4.936707732488499682e-05,4.943044545497061863e-05,-4.306258063424800347e-06,-4.311433388149350877e-06,2.360408603241899843e-05,2.355233278517316787e-05
6.000000000000000125e-03,4.970472622887500046e-05,4.977224411010556680e-05,-4.336820088488799580e-06,-4.341271208392559964e-06,2.329846578179300078e-05,2.325395458274107869e-05
8.000000000000000167e-03,4.996990061704399737e-05,5.005871445908088049e-05,-4.362753641216599711e-06,-4.366677120144294668e-06,2.303913025449900071e-05,2.299989546522372827e-05
1.000000000000000021e-02,5.016903683277500301e-05,5.029365013234561067e-05,-4.385719401048100213e-06,-4.389253065478037390e-06,2.280947260060199862e-05,2.277413601188629934e-05
1.200000000000000025e-02,5.029966766453300241e-05,5.046475355473693043e-05,-4.406586975155400217e-06,-4.409820415137878912e-06,2.260079691513799905e-05,2.256846251528788752e-05
1.400000000000000029e-02,5.035771522388400308e-05,5.055810613045742878e-05,-4.425873198005099799e-06,-4.428866982794121277e-06,2.240793468662600059e-05,2.237799683872546217e-05
1.600000000000000033e-02,5.034068770099200062e-05,5.056534541373812025e-05,-4.443913499155299971e-06,-4.446710529025674944e-06,2.222753167511199980e-05,2.219956137640992551e-05
1.799999999999999864e-02,5.024874365031099858e-05,5.048484053384338672e-05,-4.460939761212200025e-06,-4.463571713940553973e-06,2.205726905454300096e-05,2.203094952726113352e-05
2.000000000000000042e-02,5.008461672523800045e-05,5.032021767796692564e-05,-4.477120002369900359e-06,-4.479611144620568567e-06,2.189546664295699874e-05,2.187055522046099605e-05
2.199999999999999872e-02,4.985303439243200254e-05,5.007837872250702664e-05,-4.492580446480500180e-06,-4.494949996986198381e-06,2.174086226274000121e-05,2.171716669680468775e-05
2.400000000000000050e-02,4.956001370751799676e-05,4.976785321465302926e-05,-4.507418631222100259e-06,-4.509682309329770557e-06,2.159248032647600069e-05,2.156984357336897107e-05
2.599999999999999881e-02,4.921222576540200156e-05,4.939765636807823095e-05,-4.521711690654899721e-06,-4.523882712968331426e-06,2.144954970327900057e-05,2.142783953698335899e-05
2.800000000000000058e-02,4.881650324382099949e-05,4.897658354291797985e-05,-4.535521732719899741e-06,-4.537611509030200649e-06,2.131144933780899898e-05,2.129055157636466846e-05
2.999999999999999889e-02,4.837949813192799826e-05,4.851281955144503812e-05,-4.548899528004699932e-06,-4.550918127350374463e-06,2.117767143723000095e-05,2.115748539316293032e-05
3.200000000000000067e-02,4.790746219316399781e-05,4.801375483242033987e-05,-4.561887105725600208e-06,-4.563843560656345369e-06,2.104779549450600166e-05,2.102823106010321617e-05
3.400000000000000244e-02,4.740612808167699840e-05,4.748592892807581493e-05,-4.574519622959499674e-06,-4.576422128321330992e-06,2.092147040837800004e-05,2.090244538345336842e-05
3.599999999999999728e-02,4.688065758130899687e-05,4.693504753600030667e-05,-4.586826744164799888e-06,-4.588682788499209489e-06,2.079839923881099994e-05,2.077983878167458174e-05
3.799999999999999906e-02,4.633563481378499691e-05,4.636603872607685266e-05,-4.598833676088999970e-06,-4.600650137593840102e-06,2.067832990583499855e-05,2.066016529072827731e-05
4.000000000000000083e-02,4.577508878126399872e-05,4.578312715105381747e-05,-4.610562007897300423e-06,-4.612345187484506647e-06,2.056104657672399943e-05,2.054321479182161017e-05
4.200000000000000261e-02,4.520253119811699932e-05,4.518991372213600931e-05,-4.622030306810300088e-06,-4.623785980719700240e-06,2.044636364851000010e-05,2.042880685946966746e-05
4.399999999999999745e-02,4.462100313290999980e-05,4.458945368534292486e-05,-4.633254645053500165e-06,-4.634988084703285592e-06,2.033412020939899973e-05,2.031678581963382410e-05
4.599999999999999922e-02,4.403312370568000079e-05,4.398432940176499043e-05,-4.644249012188200406e-06,-4.645964993483895980e-06,2.022417661571199963e-05,2.020701673182771684e-05
4.800000000000000100e-02,4.344113942068600110e-05,4.337671615809218561e-05,-4.655025608967399760e-06,-4.656728457581794768e-06,2.011641059833600009e-05,2.009938209084873235e-05
5.000000000000000278e-02,4.284696739929100062e-05,4.276844051275108775e-05,-4.665595167860800409e-06,-4.667288756798888924e-06,2.001071504703900137e-05,1.999377909867778739e-05
5.199999999999999761e-02,4.225223956180699787e-05,4.216103134051387520e-05,-4.675967146190799927e-06,-4.677654927198244455e-06,1.990699518483300147e-05,1.989011739468423887e-05
