time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0.99998301698302,0.99998301698302,0.9999817959818,0.9999817959818,4.7952047952048e-05,2.4841824841825e-05,0.01,0,0,-4.1824841824842e-06,-4.1824841824842e-06,0.89999890108024,0.89999890108024,2.5,2.5,0
0.002,0.99998267257638,0.99996915986479,0.9999854308081,0.9999814270417,4.8923512919438e-05,2.3994049138799e-05,0.0099998232034419,-8.8398279036327e-05,5.1655312093294e-05,-4.2672617527868e-06,-4.2672617527868e-06,0.90001464430061,0.89999887899936,2.5,2.5,-0.00010000000000003
0.004,0.99998251309196,0.9999685378466,0.99998539846362,0.99998125765018,4.9367077324885e-05,2.3604086032419e-05,0.0099997418798858,-4.0661778071616e-05,3.7035037471863e-05,-4.3062580634248e-06,-4.3062580634248e-06,0.90001517503275,0.89999887008264,2.5,2.5,-0.0001
0.006,0.99998238493345,0.99996814975453,0.99998534366483,0.99998112583404,4.9704726228875e-05,2.3298465781793e-05,0.0099996781453294,-3.1867278217034e-05,2.9986477851179e-05,-4.3368200884888e-06,-4.3368200884888e-06,0.90001547501215,0.89999886679057,2.5,2.5,-0.00010000000000004
0.008,0.99998226950149,0.99996786194027,0.99998528486784,0.99998101596081,4.9969900617044e-05,2.3039130254499e-05,0.0099996240630663,-2.7041131542286e-05,2.5846671244662e-05,-4.3627536412166e-06,-4.3627536412166e-06,0.90001568113877,0.89999887179339,2.5,2.5,-0.00010000000000004
0.01,0.99998215622858,0.99996762747732,0.99998522675072,0.99998092193555,5.0169036832775e-05,2.2809472600602e-05,0.0099995761698846,-2.3946590018124e-05,2.3086313907877e-05,-4.3857193999492e-06,-4.3857194010481e-06,0.90001583985865,0.8999988891167,2.5,2.5,-0.00010000000014766
0.012,0.9999820378684,0.99996742593654,0.99998517053561,0.99998084107432,5.0299667664533e-05,2.2600796915138e-05,0.0099995326523011,-2.1758791748721e-05,2.1088368504623e-05,-4.4065869751554e-06,-4.4065869751554e-06,0.90001597065939,0.89999892286598,2.5,2.5,-9.9999999999988e-05
0.014,0.99998190938641,0.9999672468303,0.99998511645844,0.99998077199737,5.0357715223884e-05,2.2407934686626e-05,0.0099994924324905,-2.0109905283335e-05,1.9559572901957e-05,-4.4258731980051e-06,-4.4258731980051e-06,0.9000160831921,0.89999897633135,2.5,2.5,-9.9999999999993e-05
0.016,0.99998176760486,0.99996708409278,0.99998506445307,0.99998071378282,5.0340687700992e-05,2.2227531675112e-05,0.0099994548109459,-1.881077234545e-05,1.8342409775727e-05,-4.4439134991553e-06,-4.4439134991553e-06,0.90001618285693,0.89999905154288,2.5,2.5,-0.00010000000000001
0.018,0.9999816109168,0.99996693389626,0.9999850143654,0.99998066561857,5.0248743650311e-05,2.2057269054543e-05,0.0099994193040952,-1.7753425332093e-05,1.7344218795145e-05,-4.4609397612122e-06,-4.4609397612122e-06,0.90001627296031,0.89999914921595,2.5,2.5,-9.9999999999923e-05
