time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.000000000000000000e+00,4.795204795204799673e-05,4.795204795204794930e-05,-4.182484182484200228e-06,-4.182484182484183287e-06,2.484182484182500132e-05,2.484182484182483869e-05
1.000000000000000021e-03,4.861803434270200276e-05,4.868245200542793845e-05,-4.240573492641400117e-06,-4.246191647140103464e-06,2.426093174025099834e-05,2.420475019526564030e-05
2.000000000000000042e-03,4.893815128941399829e-05,4.899011682735328278e-05,-4.268499203857600160e-06,-4.273026856608043036e-06,2.398167465671600102e-05,2.393639810058624119e-05
3.000000000000000062e-03,4.918428982864100164e-05,4.922826642027135956e-05,-4.289988296833400278e-06,-4.293798793660333800e-06,2.376678373828699945e-05,2.372867873006333694e-05
4.000000000000000083e-03,4.939111643541799728e-05,4.943044545497061863e-05,-4.308093918935999839e-06,-4.311433388149350877e-06,2.358572749855500117e-05,2.355233278517316787e-05
5.000000000000000104e-03,4.957224436564199868e-05,4.960961871232725401e-05,-4.324059512688999799e-06,-4.327063827800302783e-06,2.342607156062600162e-05,2.339602838866364372e-05
6.000000000000000125e-03,4.973393573646600027e-05,4.977224411010556680e-05,-4.338520157435800365e-06,-4.341271208392559964e-06,2.328146511617000108e-05,2.325395458274107869e-05
7.000000000000000146e-03,4.987907231443699873e-05,4.992157495530280136e-05,-4.351849471641700284e-06,-4.354400685537405160e-06,2.314817196679199856e-05,2.312265981129261826e-05
8.000000000000000167e-03,5.000869846109600071e-05,5.005871445908088049e-05,-4.364288717572099946e-06,-4.366677120144294668e-06,2.302377950948000150e-05,2.299989546522372827e-05
8.999999999999999320e-03,5.012279446064799672e-05,5.018321593740684831e-05,-4.376004220257600260e-06,-4.378256682444215695e-06,2.290662448008199878e-05,2.288409984222451461e-05
1.000000000000000021e-02,5.022074783467599731e-05,5.029365013234561067e-05,-4.387116326611100423e-06,-4.389253065478037390e-06,2.279550340967799872e-05,2.277413601188629934e-05
1.099999999999999936e-02,5.030167341518299690e-05,5.038813469093962789e-05,-4.397715415581799786e-06,-4.399752088106227723e-06,2.268951252463200039e-05,2.266914578560440279e-05
1.200000000000000025e-02,5.036463570042499968e-05,5.046475355473693043e-05,-4.407871393180000074e-06,-4.409820415137878912e-06,2.258795274681699958e-05,2.256846251528788752e-05
1.299999999999999940e-02,5.040879784756899988e-05,5.052183580987802024e-05,-4.417639642299100333e-06,-4.419511055311170016e-06,2.249027026026599943e-05,2.247155611355497478e-05
1.400000000000000029e-02,5.043351275970600221e-05,5.055810613045742878e-05,-4.427064919782399934e-06,-4.428866982794121277e-06,2.239601748586500038e-05,2.237799683872546217e-05
1.499999999999999944e-02,5.043836922534399811e-05,5.057273832101617821e-05,-4.436184005632300228e-06,-4.437923610185397079e-06,2.230482662309700052e-05,2.228743056481270754e-05
1.600000000000000033e-02,5.042320541474999668e-05,5.056534541373812025e-05,-4.445027558856600206e-06,-4.446710529025674944e-06,2.221639109016600161e-05,2.219956137640992551e-05
1.700000000000000122e-02,5.038809952070200180e-05,5.053593374528858497e-05,-4.453621452188899688e-06,-4.455252766635067514e-06,2.213045215527499973e-05,2.211413900031599980e-05
1.799999999999999864e-02,5.033334656480299956e-05,5.048484053384338672e-05,-4.461987754678599658e-06,-4.463571713940553973e-06,2.204678912981700164e-05,2.203094952726113352e-05
1.899999999999999953e-02,5.025942763382499912e-05,5.041266748264030411e-05,-4.470145468669100085e-06,-4.471685823668554453e-06,2.196521198917699978e-05,2.194980842998113380e-05
2.000000000000000042e-02,5.016697615999399711e-05,5.032021767796692564e-05,-4.478111092310299885e-06,-4.479611144620568567e-06,2.188555575541300125e-05,2.187055522046099605e-05
2.100000000000000130e-02,5.005674479612600119e-05,5.020843946540816036e-05,-4.485899054738300033e-06,-4.487361736609646583e-06,2.180767612662099926e-05,2.179304930057020403e-05
2.199999999999999872e-02,4.992957433814299901e-05,5.007837872250702664e-05,-4.493522059545400197e-06,-4.494949996986198381e-06,2.173144607808200006e-05,2.171716669680468775e-05
2.299999999999999961e-02,4.978636627381400020e-05,4.993113961533548074e-05,-4.500991356297999917e-06,-4.502386920649450934e-06,2.165675310778799914e-05,2.164279746017217068e-05
2.400000000000000050e-02,4.962805898555600244e-05,4.976785321465302926e-05,-4.508316960133999980e-06,-4.509682309329770557e-06,2.158349706987900120e-05,2.156984357336897107e-05
2.500000000000000139e-02,4.945560790457100134e-05,4.958965302287842293e-05,-4.515507828400800137e-06,-4.516844941707745971e-06,2.151158838628099981e-05,2.149821724958921862e-05
2.599999999999999881e-02,4.926996935016700107e-05,4.939765636807823095e-05,-4.522572007774899945e-06,-4.523882712968331426e-06,2.144094659406800004e-05,2.142783953698335899e-05
2.699999999999999969e-02,4.907208759123300035e-05,4.919295065308470100e-05,-4.529516754067699957e-06,-4.530802750265469353e-06,2.137149913067300016e-05,2.135863916401198480e-05
2.800000000000000058e-02,4.886288488070699847e-05,4.897658354291797985e-05,-4.536348633012099658e-06,-4.537611509030200649e-06,2.130318034030399913e-05,2.129055157636466846e-05
2.900000000000000147e-02,4.864325392473399718e-05,4.874955629387662880e-05,-4.543073604499499703e-06,-4.544314853918907333e-06,2.123593062577800047e-05,2.122351812747760161e-05
2.999999999999999889e-02,4.841405250093900166e-05,4.851281955144503812e-05,-4.549697094108700244e-06,-4.550918127350374463e-06,2.116969573036499869e-05,2.115748539316293032e-05
3.099999999999999978e-02,4.817609972076699774e-05,4.826727106024093425e-05,-4.556224053407600304e-06,-4.557426207940567056e-06,2.110442613474199837e-05,2.109240458726100608e-05
3.200000000000000067e-02,4.793017373934599975e-05,4.801375483242033987e-05,-4.562659013353900352e-06,-4.563843560656345369e-06,2.104007653710500102e-05,2.102823106010321617e-05
3.300000000000000155e-02,4.767701048313599733e-05,4.775306140963447290e-05,-4.569006127344000086e-06,-4.570174280134419650e-06,2.097660539606100048e-05,2.096492386532247844e-05
3.400000000000000244e-02,4.741730340441999966e-05,4.748592892807581493e-05,-4.575269211630400317e-06,-4.576422128321330992e-06,2.091397455358899994e-05,2.090244538345336842e-05
3.500000000000000333e-02,4.715170377946499970e-05,4.721304475760099671e-05,-4.581451778729799647e-06,-4.582590567363592440e-06,2.085214888288500023e-05,2.084076099303074715e-05
3.599999999999999728e-02,4.688082155811899859e-05,4.693504753600030667e-05,-4.587557067047500053e-06,-4.588682788499209489e-06,2.079109599811400044e-05,2.077983878167458174e-05
3.699999999999999817e-02,4.660522660010799978e-05,4.665252945989398437e-05,-4.593588067218700059e-06,-4.594701737561383874e-06,2.073078599372699918e-05,2.071964929105283789e-05
3.799999999999999906e-02,4.632545020877999997e-05,4.636603872607685266e-05,-4.599547545404500330e-06,-4.600650137593840102e-06,2.067119121280999925e-05,2.066016529072827731e-05
3.899999999999999994e-02,4.604198676631500253e-05,4.607608204283464753e-05,-4.605438063171999879e-06,-4.606530508988415438e-06,2.061228603722600115e-05,2.060136157678252395e-05
4.000000000000000083e-02,4.575529557115100120e-05,4.578312715105381747e-05,-4.611261996227800195e-06,-4.612345187484506647e-06,2.055404670541500080e-05,2.054321479182161017e-05
4.100000000000000172e-02,4.546580265605799849e-05,4.548760531088234371e-05,-4.617021550848399679e-06,-4.618096340312818318e-06,2.049645116035299849e-05,2.048570326353849007e-05
4.200000000000000261e-02,4.517390271858400246e-05,4.518991372213600931e-05,-4.622718778638000408e-06,-4.623785980719700240e-06,2.043947888013099976e-05,2.042880685946966746e-05
4.299999999999999656e-02,4.487996091874500070e-05,4.489041785629199267e-05,-4.628355589273700235e-06,-4.629415981070930054e-06,2.038311077543900060e-05,2.037250685595737271e-05
4.399999999999999745e-02,4.458431477389999823e-05,4.458945368534292486e-05,-4.633933762617199959e-06,-4.634988084703285592e-06,2.032732904231000079e-05,2.031678581963382410e-05
4.499999999999999833e-02,4.428727589954200054e-05,4.428732979846612921e-05,-4.639454959593899684e-06,-4.640503916667283338e-06,2.027211707243699906e-05,2.026162749999384157e-05
4.599999999999999922e-02,4.398913169089500034e-05,4.398432940176499043e-05,-4.644920731941799962e-06,-4.645964993483895980e-06,2.021745934744999980e-05,2.020701673182771684e-05
4.700000000000000011e-02,4.369014702494099922e-05,4.368071219956099242e-05,-4.650332531024300238e-06,-4.651372732021075692e-06,2.016334135561299935e-05,2.015293934645592480e-05
4.800000000000000100e-02,4.339056575467999821e-05,4.337671615809218561e-05,-4.655691716018800081e-06,-4.656728457581794768e-06,2.010974950610799897e-05,2.009938209084873235e-05
4.900000000000000189e-02,4.309061219443399720e-05,4.307255915419406009e-05,-4.660999560624700377e-06,-4.662033411283490674e-06,2.005667106344399892e-05,2.004633255383176651e-05
5.000000000000000278e-02,4.279049251749099912e-05,4.276844051275108775e-05,-4.666257260557200378e-06,-4.667288756798888924e-06,2.000409406092799880e-05,1.999377909867778739e-05
5.099999999999999672e-02,4.249039607841399854e-05,4.246454243752830404e-05,-4.671465939612699886e-06,-4.672495586519785606e-06,1.995200727089700032e-05,1.994171080146881549e-05
5.199999999999999761e-02,4.219049659041400010e-05,4.216103134051387520e-05,-4.676626654861100213e-06,-4.677654927198244455e-06,1.990040011779700081e-05,1.989011739468423887e-05
5.299999999999999850e-02,4.189095329910300108e-05,4.185805907519929989e-05,-4.681740402037799926e-06,-4.682767745113549500e-06,1.984926264776099852e-05,1.983898921553117994e-05
5.399999999999999939e-02,4.159191207307499959e-05,4.155576407934825179e-05,-4.686808119978200318e-06,-4.687834950808030653e-06,1.979858546927700113e-05,1.978831715858637180e-05
5.500000000000000028e-02,4.129350637238000027e-05,4.125427243280411447e-05,-4.691830695505499713e-06,-4.692857403430309842e-06,1.974835971123800076e-05,1.973809263236358499e-05
5.600000000000000117e-02,4.099585819651199958e-05,4.095369883579257113e-05,-4.696808966987000261e-06,-4.697835914720602043e-06,1.969857699881200088e-05,1.968830751946065960e-05
5.700000000000000205e-02,4.069907893591400279e-05,4.065414751301725066e-05,-4.701743727941300230e-06,-4.702771252669240314e-06,1.964922938892600028e-05,1.963895413997426842e-05
5.800000000000000294e-02,4.040327018592200178e-05,4.035571304864239787e-05,-4.706635730586000031e-06,-4.707664144876551411e-06,1.960030936325900104e-05,1.959002521790116592e-05
5.899999999999999689e-02,4.010852450571100204e-05,4.005848115702316168e-05,-4.711485688765600344e-06,-4.712515281639553116e-06,1.955180977944200100e-05,1.954151385027114548e-05
5.999999999999999778e-02,3.981492606211700029e-05,3.976252939379353545e-05,-4.716294281013899770e-06,-4.717325318788566782e-06,1.950372385580600009e-05,1.949341347878100713e-05
6.099999999999999867e-02,3.952255134623000197e-05,3.946792781166254802e-05,-4.721062153050499924e-06,-4.722094880294709154e-06,1.945604513711899912e-05,1.944571786371958680e-05
6.199999999999999956e-02,3.923146970145399828e-05,3.917473956500761121e-05,-4.725789919853000391e-06,-4.726824560667365766e-06,1.940876747029399957e-05,1.939842105999302406e-05
6.300000000000000044e-02,3.894174391890299944e-05,3.888302146709593016e-05,-4.730478168484699638e-06,-4.731514927159033798e-06,1.936188498313100076e-05,1.935151739507633866e-05
6.400000000000000133e-02,3.865343070458200262e-05,3.859282450351256218e-05,-4.735127459709699648e-06,-4.736166521793423879e-06,1.931539206994900015e-05,1.930500144873244293e-05
6.500000000000000222e-02,3.836658118967400174e-05,3.830419430513071238e-05,-4.739738330134300078e-06,-4.740779863231295796e-06,1.926928336344199894e-05,1.925886803435371698e-05
6.600000000000000311e-02,3.808124136406099765e-05,3.801717158372714468e-05,-4.744311293765100121e-06,-4.745355448487327364e-06,1.922355372888000108e-05,1.921311218179340977e-05
6.700000000000000400e-02,3.779745245964999850e-05,3.773179253312479512e-05,-4.748846843571999602e-06,-4.749893754510113777e-06,1.917819823238400067e-05,1.916772912156553717e-05
6.800000000000000488e-02,3.751525133857299668e-05,3.744808919853530852e-05,-4.753345453034300077e-06,-4.754395239636448643e-06,1.913321213796700111e-05,1.912271427030219021e-05
6.900000000000000577e-02,3.723467081623100313e-05,3.716608981657774859e-05,-4.757807577658699682e-06,-4.758860344930040074e-06,1.908859089080399972e-05,1.907806321736627421e-05
7.000000000000000666e-02,3.695574001504600074e-05,3.688581912826523402e-05,-4.762233656240199931e-06,-4.763289495414030022e-06,1.904433010491099904e-05,1.903377171252637980e-05
7.099999999999999367e-02,3.667848460933699711e-05,3.660729866707869581e-05,-4.766624111665600323e-06,-4.767683101205868505e-06,1.900042555169499843e-05,1.898983565460799497e-05
7.199999999999999456e-02,3.640292715997299776e-05,3.633054702408596709e-05,-4.770979352242899610e-06,-4.772041558562417583e-06,1.895687314527099975e-05,1.894625108104250420e-05
7.299999999999999545e-02,3.612908730974200239e-05,3.605558009191473618e-05,-4.775299772891399962e-06,-4.776365250842496730e-06,1.891366893909099923e-05,1.890301415824170933e-05
7.399999999999999634e-02,3.585698203439900055e-05,3.578241128924860036e-05,-4.779585755392899666e-06,-4.780654549393508645e-06,1.887080911346300106e-05,1.886012117273159019e-05
7.499999999999999722e-02,3.558662587701099924e-05,3.551105176738621444e-05,-4.783837670212699614e-06,-4.784909814368232271e-06,1.882828996490499903e-05,1.881756852298435223e-05
7.599999999999999811e-02,3.531803110793700303e-05,3.524151060028403551e-05,-4.788055876337100032e-06,-4.789131395477383622e-06,1.878610790380199873e-05,1.877535271189284381e-05
7.699999999999999900e-02,3.505120793520999855e-05,3.497379495939208867e-05,-4.792240722601000113e-06,-4.793319632683085041e-06,1.874425944312599847e-05,1.873347033983582284e-05
7.799999999999999989e-02,3.478616467162099987e-05,3.470791027448971462e-05,-4.796392548050899913e-06,-4.797474856837976971e-06,1.870274118587499890e-05,1.869191809828691032e-05
7.900000000000000078e-02,3.452290784878499788e-05,3.444386038163356879e-05,-4.800511682762900398e-06,-4.801597390274309043e-06,1.866154983925999848e-05,1.865069276392358451e-05
8.000000000000000167e-02,3.426144243442099811e-05,3.418164765924257839e-05,-4.804598448306299823e-06,-4.805687547347025412e-06,1.862068218467999978e-05,1.860979119319642591e-05
8.100000000000000255e-02,3.400177189928200278e-05,3.392127315326372994e-05,-4.808653158199699800e-06,-4.809745634934493364e-06,1.858013508672299831e-05,1.856921031732174638e-05
8.200000000000000344e-02,3.374389836715299901e-05,3.366273669228794644e-05,-4.812676118445599972e-06,-4.813771952900285358e-06,1.853990548393099914e-05,1.852894713766382306e-05
8.300000000000000433e-02,3.348782270949499833e-05,3.340603699341660875e-05,-4.816667628188099623e-06,-4.817766794519099368e-06,1.849999038545300007e-05,1.848899872147568804e-05
8.400000000000000522e-02,3.323354468066299792e-05,3.315117175961592431e-05,-4.820627979835299862e-06,-4.821730446869683926e-06,1.846038686943999975e-05,1.844936219796983738e-05
8.500000000000000611e-02,3.298106299353099983e-05,3.289813776923762351e-05,-4.824557459588899966e-06,-4.825663191197408872e-06,1.842109207150799895e-05,1.841003475469258792e-05
8.599999999999999312e-02,3.273037541346299808e-05,3.264693095833089744e-05,-4.828456347757800312e-06,-4.829565303248881489e-06,1.838210318949499861e-05,1.837101363417786005e-05
8.699999999999999400e-02,3.248147882535699850e-05,3.239754649632064468e-05,-4.832324919086199749e-06,-4.833437053580850102e-06,1.834341747660900131e-05,1.833229613085817731e-05
8.799999999999999489e-02,3.223436931823100277e-05,3.214997885558143617e-05,-4.836163443113799741e-06,-4.837278707845435645e-06,1.830503223674599940e-05,1.829387958821232697e-05
8.899999999999999578e-02,3.198904226151700068e-05,3.190422187539453363e-05,-4.839972184337900219e-06,-4.841090527053571611e-06,1.826694482365599995e-05,1.825576139613096561e-05
8.999999999999999667e-02,3.174549235570500234e-05,3.166026882073633326e-05,-4.843751402686800363e-06,-4.844872767818399823e-06,1.822915264100899839e-05,1.821793898848268349e-05
9.099999999999999756e-02,3.150371370896000065e-05,3.141811243631122081e-05,-4.847501353502299750e-06,-4.848625682580193250e-06,1.819165313205699903e-05,1.818040984086474583e-05
9.199999999999999845e-02,3.126369987471800310e-05,3.117774499620853935e-05,-4.851222287989400005e-06,-4.852349519814296671e-06,1.815444378800899910e-05,1.814317146852370484e-05
9.299999999999999933e-02,3.102544391074000326e-05,3.093915834953341959e-05,-4.854914453329099942e-06,-4.856044524223420939e-06,1.811752213515400086e-05,1.810622142443247233e-05
9.400000000000000022e-02,3.078893842133300214e-05,3.070234396233312871e-05,-4.858578092826200272e-06,-4.859710936915530912e-06,1.808088573849799831e-05,1.806955729751136752e-05
9.500000000000000111e-02,3.055417559236599787e-05,3.046729295611520574e-05,-4.862213446088899999e-06,-4.863348995568488330e-06,1.804453220756999836e-05,1.803317671098179334e-05
9.600000000000000200e-02,3.032114724554500076e-05,3.023399614322962704e-05,-4.865820749346000096e-06,-4.866958934582474545e-06,1.800845917350599849e-05,1.799707732084192610e-05
9.700000000000000289e-02,3.008984486513600120e-05,3.000244405936598762e-05,-4.869400235377100365e-06,-4.870540985221184141e-06,1.797266431453700092e-05,1.796125681445483692e-05
9.800000000000000377e-02,2.986025963884900031e-05,2.977262699339623371e-05,-4.872952133924199850e-06,-4.874095375742662720e-06,1.793714532858499977e-05,1.792571290924004944e-05
9.900000000000000466e-02,2.963238248440000096e-05,2.954453501477548742e-05,-4.876476671579699604e-06,-4.877622331520624046e-06,1.790189995205599937e-05,1.789044335146044296e-05
