time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0.99998301698302,0.99998301698302,0.9999817959818,0.9999817959818,4.7952047952048e-05,2.4841824841825e-05,0.01,0,0,-4.1824841824842e-06,-4.1824841824842e-06,0.89999890108024,0.89999890108024,2.5,2.5,0
0.001,0.99998278110904,0.99996912458635,0.99998558952908,0.99998154315199,4.8618034342702e-05,2.4260931740251e-05,0.0099998788595844,-0.00012114041556058,8.2420037276954e-05,-4.2405734926414e-06,-4.2405734926414e-06,0.900014818906,0.89999888581948,2.5,2.5,-0.00010000000000002
0.002,0.99998266770103,0.99996860526789,0.99998558825835,0.99998142161168,4.8938151289414e-05,2.3981674656716e-05,0.0099998206228469,-5.8236738770316e-05,5.492483351358e-05,-4.2684991969241e-06,-4.2684992038576e-06,0.90001528517125,0.8999988785002,2.5,2.5,-9.9999999968546e-05
0.003,0.99998258037199,0.99996831314323,0.99998555543,0.99998132810296,4.9184289828641e-05,2.3766783738287e-05,0.0099997758091353,-4.4813711906034e-05,4.330508426927e-05,-4.2899882903611e-06,-4.2899882968334e-06,0.90001551854978,0.89999887293829,2.5,2.5,-9.9999999996847e-05
0.004,0.99998250662156,0.99996810460494,0.99998551663233,0.99998124936812,4.9391116435418e-05,2.3585727498555e-05,0.0099997380513676,-3.7757767522851e-05,3.6850331957252e-05,-4.308093913424e-06,-4.308093918936e-06,0.90001567132445,0.89999886845214,2.5,2.5,-0.00010000000000186
0.005,0.99998244120438,0.99996793761756,0.99998547741237,0.99998118005329,4.9572244365642e-05,2.3426071560626e-05,0.0099997047564521,-3.3294915480451e-05,3.2658249102582e-05,-4.3240595080318e-06,-4.324059512689e-06,0.90001578632143,0.89999886494413,2.5,2.5,-0.000100000000007
0.006,0.99998238123149,0.99996779545914,0.99998543919642,0.99998111748609,4.9733935736466e-05,2.328146511617e-05,0.009999674599982,-3.0156470229532e-05,2.9667739253018e-05,-4.338520153568e-06,-4.3385201574358e-06,0.90001587987493,0.89999886260914,2.5,2.5,-0.00010000000000562
0.007,0.9999823247612,0.99996766993113,0.99998540233818,0.99998106016629,4.9879072314437e-05,2.3148171966792e-05,0.0099996468028071,-2.7797174953076e-05,2.7399970391162e-05,-4.3518494679119e-06,-4.3518494716417e-06,0.90001595968226,0.89999886184447,2.5,2.5,-9.999999999439e-05
0.008,0.99998227029395,0.99996755641185,0.99998536686659,0.99998100719783,5.0008698461096e-05,2.302377950948e-05,0.0099996208617959,-2.5941011201471e-05,2.5605413046466e-05,-4.3642887143626e-06,-4.3642887175721e-06,0.9000160299293,0.89999886319336,2.5,2.5,-9.9999999998028e-05
0.009,0.99998221657412,0.99996745203185,0.99998533270787,0.99998095802867,5.0122794460648e-05,2.2906624480082e-05,0.0099995964300909,-2.4431705104486e-05,2.4140151535109e-05,-4.3760042174751e-06,-4.3760042202576e-06,0.90001609313219,0.89999886728897,2.5,2.5,-9.9999999994742e-05
0.01,0.9999821625149,0.99996735488062,0.99998529975948,0.99998091231229,5.0220747834676e-05,2.2795503409678e-05,0.0099995732567185,-2.317337214503e-05,2.291475909303e-05,-4.3871163242068e-06,-4.3871163266111e-06,0.90001615091817,0.8999988747976,2.5,2.5,-9.9999999992802e-05
0.011,0.99998210717389,0.99996726361759,0.99998526791658,0.99998086982582,5.0301673415183e-05,2.2689512524632e-05,0.0099995511532019,-2.2103516763125e-05,2.1870414484585e-05,-4.3977154132803e-06,-4.3977154155818e-06,0.90001620439954,0.89999888636685,2.5,2.5,-0.000100000000001
0.012,0.99998204974814,0.99996717726225,0.99998523708125,0.99998083041873,5.0364635700425e-05,2.2587952746817e-05,0.0099995299737569,-2.1179444894298e-05,2.0966655310027e-05,-4.4078713908287e-06,-4.40787139318e-06,0.90001625437059,0.89999890258385,2.5,2.5,-9.9999999999878e-05
0.013,0.99998198957445,0.99996709507403,0.99998520716527,0.99998079397994,5.0408797847569e-05,2.2490270260266e-05,0.0099995096028877,-2.0370869324101e-05,2.0174622969116e-05,-4.4176396398827e-06,-4.4176396422991e-06,0.90001630141847,0.89999892394557,2.5,2.5,-0.00010000000000094
0.014,0.99998192612641,0.9999670164783,0.99998517809022,0.99998076041671,5.0433512759706e-05,2.2396017485865e-05,0.0099994899472571,-1.9655630842216e-05,1.9473112316979e-05,-4.4270649173622e-06,-4.4270649197824e-06,0.90001634598985,0.89999895084232,2.5,2.5,-9.9999999998443e-05
0.015,0.99998185900847,0.99996694101914,0.9999851497869,0.99998072964193,5.0438369225344e-05,2.2304826623097e-05,0.0099994709301632,-1.901709389322e-05,1.8846147595542e-05,-4.4361840032541e-06,-4.4361840056323e-06,0.90001638843273,0.89999898355169,2.5,2.5,-0.00010000000000022
0.016,0.99998178794562,0.99996686832809,0.99998512219414,0.99998070156673,5.042320541475e-05,2.2216391090166e-05,0.0099994524876698,-1.8442493318346e-05,1.8281433888955e-05,-4.4450275565507e-06,-4.4450275588566e-06,0.90001642902374,0.8999990222412,2.5,2.5,-0.00010000000000709
0.017,0.99998171277052,0.99996679810244,0.99998509525788,0.99998067609695,5.0388099520702e-05,2.2130452155275e-05,0.0099994345658213,-1.7921848489484e-05,1.7769334065499e-05,-4.4536214499827e-06,-4.4536214521889e-06,0.90001646798664,0.89999906697675,2.5,2.5,-0.0001000000000082
0.018,0.99998163340903,0.99996673009018,0.9999850689302,0.99998065313202,5.0333346564803e-05,2.2046789129817e-05,0.0099994171185945,-1.7447226855573e-05,1.7302172354443e-05,-4.4619877525881e-06,-4.4619877546786e-06,0.90001650550514,0.8999991177345,2.5,2.5,-0.00010000000000065
0.019,0.99998154986533,0.99996666407893,0.99998504316847,0.99998063256507,5.0259427633825e-05,2.1965211989177e-05,0.0099994001063615,-1.701223293946e-05,1.6873748586766e-05,-4.4701454667101e-06,-4.4701454686691e-06,0.900016541732,0.89999917441455,2.5,2.5,-0.00010000000000158
0.02,0.99998146220769,0.99996659988776,0.9999850179346,0.99998061428425,5.0166976159994e-05,2.1885555755413e-05,0.0099993834947173,-1.6611644230441e-05,1.6478991439816e-05,-4.4781110904899e-06,-4.4781110923103e-06,0.9000165767958,0.89999923685477,2.5,2.5,-9.9999999994677e-05
0.021,0.99998137055517,0.99996653736123,0.99998499319453,0.99998059817407,5.0056744796126e-05,2.1807676126621e-05,0.0099993672535704,-1.6241146852763e-05,1.6113706037361e-05,-4.4858990530678e-06,-4.4858990547383e-06,0.90001661080579,0.89999930484408,2.5,2.5,-9.9999999998978e-05
0.022,0.99998127506595,0.9999664763645,0.99998496891759,0.99998058411717,4.9929574338143e-05,2.1731446078082e-05,0.0099993513564288,-1.589714150279e-05,1.5774387521697e-05,-4.4935220580285e-06,-4.4935220595454e-06,0.90001664385573,0.89999937813446,2.5,2.5,-0.00010000000000121
0.023,0.99998117592688,0.99996641677996,0.9999849450762,0.99998057199562,4.9786366273814e-05,2.1656753107788e-05,0.0099993357798325,-1.5576596217605e-05,1.5458080398974e-05,-4.5009913549395e-06,-4.500991356298e-06,0.90001667602663,0.89999945645164,2.5,2.5,-9.9999999995544e-05
0.024,0.99998107334491,0.99996635850412,0.99998492164531,0.99998056169247,4.9628058985556e-05,2.1583497069879e-05,0.0099993205028963,-1.5276936080809e-05,1.5162271664523e-05,-4.5083169589346e-06,-4.508316960134e-06,0.90001670738912,0.89999953950411,2.5,2.5,-0.00010000000000176
0.025,0.99998096753976,0.99996630144553,0.99998489860228,0.99998055309288,4.9455607904571e-05,2.1511588386281e-05,0.0099993055069395,-1.4995956600512e-05,1.4884808087335e-05,-4.5155078273495e-06,-4.5155078284008e-06,0.9000167380051,0.89999962699072,2.5,2.5,-0.00010000000000473
0.026,0.99998085873812,0.99996624552294,0.9999848759265,0.99998054608496,4.9269969350167e-05,2.1440946594068e-05,0.0099992907751821,-1.4731757475061e-05,1.4623831800107e-05,-4.5225720068607e-06,-4.5225720077749e-06,0.90001676792918,0.89999971860678,2.5,2.5,-0.00010000000000134
0.027,0.99998074716877,0.99996619066372,0.99998485359917,0.99998054056062,4.9072087591233e-05,2.1371499130673e-05,0.0099992762924923,-1.4482689865588e-05,1.4377729475857e-05,-4.5295167532854e-06,-4.5295167540677e-06,0.90001679720977,0.89999981404909,2.5,2.5,-9.9999999999364e-05
0.028,0.99998063305901,0.99996613680279,0.99998483160307,0.99998053641603,4.8862884880707e-05,2.1303180340304e-05,0.0099992620451779,-1.4247314380307e-05,1.4145091779237e-05,-4.5363486323523e-06,-4.5363486330121e-06,0.90001682589002,0.89999991301965,2.5,2.5,-9.9999999997329e-05
0.029,0.99998051663165,0.99996608388141,0.99998480992251,0.99998053355208,4.8643253924734e-05,2.1235930625778e-05,0.0099992480208102,-1.4024367785598e-05,1.3924680930857e-05,-4.5430736039187e-06,-4.5430736044995e-06,0.9000168540086,0.90000001522869,2.5,2.5,-0.00010000000000389
0.03,0.99998039810303,0.99996603184665,0.99998478854305,0.99998053187451,4.8414052500939e-05,2.1169695730365e-05,0.0099992342080747,-1.3812735584901e-05,1.3715404364766e-05,-4.5496970935748e-06,-4.5496970941087e-06,0.90001688160018,0.90000012039669,2.5,2.5,-9.9999999998618e-05
0.031,0.9999802776814,0.99996598065044,0.99998476745142,0.99998053129411,4.8176099720767e-05,2.1104426134742e-05,0.0099992205966446,-1.361143016119e-05,1.3516293224019e-05,-4.5562240529159e-06,-4.5562240534076e-06,0.90001690869609,0.90000022825596,2.5,2.5,-9.9999999998601e-05
