time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.000000000000000000e+00,4.795204795204799673e-05,4.795204795204794930e-05,-4.182484182484200228e-06,-4.182484182484183287e-06,2.484182484182500132e-05,2.484182484182483869e-05
2.000000000000000096e-04,4.827694140795100048e-05,4.827655417259402057e-05,-4.210822111682599967e-06,-4.210788336165147311e-06,2.455844554983799865e-05,2.455878330501519845e-05
4.000000000000000192e-04,4.840545884745899914e-05,4.841197965493431723e-05,-4.222031688350100048e-06,-4.222600447680380544e-06,2.444634978316500022e-05,2.444066218986285934e-05
5.999999999999999474e-04,4.850907078362100207e-05,4.851629982994464597e-05,-4.231068951675500042e-06,-4.231699485167395104e-06,2.435597714991299929e-05,2.434967181499272221e-05
8.000000000000000383e-04,4.859756364563900134e-05,4.860451994489337811e-05,-4.238787495752899667e-06,-4.239394239637917854e-06,2.427879170913700065e-05,2.427272427028749640e-05
1.000000000000000021e-03,4.867591732473900052e-05,4.868245200542792490e-05,-4.245621681343800336e-06,-4.246191647140103464e-06,2.421044986932900100e-05,2.420475019526564030e-05
1.199999999999999895e-03,4.874694917519399947e-05,4.875307668800720075e-05,-4.251817238175499885e-06,-4.252351688898406574e-06,2.414849430897600071e-05,2.414314977768260582e-05
1.399999999999999986e-03,4.881239960774299988e-05,4.881816460803606322e-05,-4.257525972295300337e-06,-4.258028801923145962e-06,2.409140695963299852e-05,2.408637864743521701e-05
1.600000000000000077e-03,4.887342181213799803e-05,4.887886939154627118e-05,-4.262848462714899948e-06,-4.263323608040425912e-06,2.403818205260800045e-05,2.403343058626241074e-05
1.799999999999999951e-03,4.893082273032200134e-05,4.893599233066736316e-05,-4.267855100779900089e-06,-4.268305997730431994e-06,2.398811567420299889e-05,2.398360668936235331e-05
2.000000000000000042e-03,4.898519213521099994e-05,4.899011682735328278e-05,-4.272597319937999719e-06,-4.273026856608043036e-06,2.394069348218500135e-05,2.393639810058624119e-05
2.200000000000000133e-03,4.903697588642599988e-05,4.904168329243334970e-05,-4.277114012574299876e-06,-4.277524598284570665e-06,2.389552655650099833e-05,2.389142068382096829e-05
2.399999999999999790e-03,4.908652062871900044e-05,4.909103387314264132e-05,-4.281435415138399710e-06,-4.281829065603184130e-06,2.385231253001800011e-05,2.384837601063483534e-05
2.599999999999999881e-03,4.913410208131500017e-05,4.913844065465965551e-05,-4.285585577656400326e-06,-4.285963990445173571e-06,2.381081090694400076e-05,2.380702676221493924e-05
2.799999999999999972e-03,4.917994378301399804e-05,4.918412423696808666e-05,-4.289583997968499855e-06,-4.289948614070804071e-06,2.377082670316700048e-05,2.376718052595863423e-05
3.000000000000000062e-03,4.922422990631500253e-05,4.922826642027135956e-05,-4.293446741387200239e-06,-4.293798793660333800e-06,2.373219926738500142e-05,2.372867873006333694e-05
3.200000000000000153e-03,4.926711419841899893e-05,4.927101913165289615e-05,-4.297187229433699782e-06,-4.297527781173524671e-06,2.369479438780600075e-05,2.369138885493142992e-05
