time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.000000000000000000e+00,4.795204795204799673e-05,4.795204795204794930e-05,-4.182484182484200228e-06,-4.182484182484183287e-06,2.484182484182500132e-05,2.484182484182483869e-05
2.000000000000000042e-03,4.887624883470099730e-05,4.899011682735328278e-05,-4.263183369079200361e-06,-4.273026856608043036e-06,2.403483297587599948e-05,2.393639810058624119e-05
4.000000000000000083e-03,4.933872833394599785e-05,4.943044545497061863e-05,-4.304033131020099890e-06,-4.311433388149350877e-06,2.362633535453399877e-05,2.355233278517316787e-05
6.000000000000000125e-03,4.967686058196300148e-05,4.977224411010556680e-05,-4.335130990609800386e-06,-4.341271208392559964e-06,2.331535677803900006e-05,2.325395458274107869e-05
8.000000000000000167e-03,4.993536749607299679e-05,5.005871445908088049e-05,-4.361323645990100386e-06,-4.366677120144294668e-06,2.305343022103099849e-05,2.299989546522372827e-05
1.000000000000000021e-02,5.012332391269300121e-05,5.029365013234561067e-05,-4.384448671251300229e-06,-4.389253065478037390e-06,2.282217995747500065e-05,2.277413601188629934e-05
1.200000000000000025e-02,5.024036365621499772e-05,5.046475355473693043e-05,-4.405426766683399837e-06,-4.409820415137878912e-06,2.261239900606500100e-05,2.256846251528788752e-05
1.400000000000000029e-02,5.028439601357900026e-05,5.055810613045742878e-05,-4.424795374000599617e-06,-4.428866982794121277e-06,2.241871293425999918e-05,2.237799683872546217e-05
1.600000000000000033e-02,5.025450079796200237e-05,5.056534541373812025e-05,-4.442900043383799632e-06,-4.446710529025674944e-06,2.223766624214400139e-05,2.219956137640992551e-05
1.799999999999999864e-02,5.015183094665999882e-05,5.048484053384338672e-05,-4.459978280118299644e-06,-4.463571713940553973e-06,2.206688386859700061e-05,2.203094952726113352e-05
2.000000000000000042e-02,4.997957009015299929e-05,5.032021767796692564e-05,-4.476201497161799649e-06,-4.479611144620568567e-06,2.190465169988099973e-05,2.187055522046099605e-05
2.199999999999999872e-02,4.974248647036800240e-05,5.007837872250702664e-05,-4.491698086505699593e-06,-4.494949996986198381e-06,2.174968580849300078e-05,2.171716669680468775e-05
2.400000000000000050e-02,4.944638122627399913e-05,4.976785321465302926e-05,-4.506567052798400226e-06,-4.509682309329770557e-06,2.160099614373899859e-05,2.156984357336897107e-05
2.599999999999999881e-02,4.909758058295799924e-05,4.939765636807823095e-05,-4.520886528711399716e-06,-4.523882712968331426e-06,2.145780138191499847e-05,2.142783953698335899e-05
2.800000000000000058e-02,4.870253164799600161e-05,4.897658354291797985e-05,-4.534719344971799888e-06,-4.537611509030200649e-06,2.131947322089300018e-05,2.129055157636466846e-05
2.999999999999999889e-02,4.826751217846099668e-05,4.851281955144503812e-05,-4.548116808218400358e-06,-4.550918127350374463e-06,2.118549858936300077e-05,2.115748539316293032e-05
3.200000000000000067e-02,4.779844115428200145e-05,4.801375483242033987e-05,-4.561121353322500277e-06,-4.563843560656345369e-06,2.105545314106900057e-05,2.102823106010321617e-05
3.400000000000000244e-02,4.730076921868999672e-05,4.748592892807581493e-05,-4.573768451904200212e-06,-4.576422128321330992e-06,2.092898214836499995e-05,2.090244538345336842e-05
3.599999999999999728e-02,4.677942781699600215e-05,4.693504753600030667e-05,-4.586088025424200124e-06,-4.588682788499209489e-06,2.080578641497000093e-05,2.077983878167458174e-05
3.799999999999999906e-02,4.623881880395400124e-05,4.636603872607685266e-05,-4.598105507811699641e-06,-4.600650137593840102e-06,2.068561159194700063e-05,2.066016529072827731e-05
4.000000000000000083e-02,4.568283009054100293e-05,4.578312715105381747e-05,-4.609842667103499992e-06,-4.612345187484506647e-06,2.056823999933500132e-05,2.054321479182161017e-05
4.200000000000000261e-02,4.511486713374699743e-05,4.518991372213600931e-05,-4.621318245569600142e-06,-4.623785980719700240e-06,2.045348421301699840e-05,2.042880685946966746e-05
4.399999999999999745e-02,4.453789264579300028e-05,4.458945368534292486e-05,-4.632548469211399590e-06,-4.634988084703285592e-06,2.034118197534400094e-05,2.031678581963382410e-05
4.599999999999999922e-02,4.395446978057500234e-05,4.398432940176499043e-05,-4.643547457264299882e-06,-4.645964993483895980e-06,2.023119209623400013e-05,2.020701673182771684e-05
4.800000000000000100e-02,4.336680543903299905e-05,4.337671615809218561e-05,-4.654327555518000206e-06,-4.656728457581794768e-06,2.012339111543199989e-05,2.009938209084873235e-05
5.000000000000000278e-02,4.277679173867199742e-05,4.276844051275108775e-05,-4.664899609763899807e-06,-4.667288756798888924e-06,2.001767057201999864e-05,1.999377909867778739e-05
5.199999999999999761e-02,4.218604469448400006e-05,4.216103134051387520e-05,-4.675273192771599687e-06,-4.677654927198244455e-06,1.991393474185600108e-05,1.989011739468423887e-05
5.399999999999999939e-02,4.159593935637400080e-05,4.155576407934825179e-05,-4.685456792112899578e-06,-4.687834950808030653e-06,1.981209874761099898e-05,1.978831715858637180e-05
5.600000000000000117e-02,4.100764149322600008e-05,4.095369883579257113e-05,-4.695457969567999625e-06,-4.697835914720602043e-06,1.971208697352000008e-05,1.968830751946065960e-05
5.800000000000000294e-02,4.042213559071600307e-05,4.035571304864239787e-05,-4.705283492178299925e-06,-4.707664144876551411e-06,1.961383174522799967e-05,1.959002521790116592e-05
5.999999999999999778e-02,3.984024964252300095e-05,3.976252939379353545e-05,-4.714939447026199581e-06,-4.717325318788566782e-06,1.951727219700099880e-05,1.949341347878100713e-05
6.199999999999999956e-02,3.926267675045999725e-05,3.917473956500761121e-05,-4.724431334660799607e-06,-4.726824560667365766e-06,1.942235332289899888e-05,1.939842105999302406e-05
6.400000000000000133e-02,3.868999404056400209e-05,3.859282450351256218e-05,-4.733764150834400375e-06,-4.736166521793423879e-06,1.932902516222499942e-05,1.930500144873244293e-05
6.600000000000000311e-02,3.812267903949800282e-05,3.801717158372714468e-05,-4.742942455970500172e-06,-4.745355448487327364e-06,1.923724211203399958e-05,1.921311218179340977e-05
6.800000000000000488e-02,3.756112383305400151e-05,3.744808919853530852e-05,-4.751970432322699951e-06,-4.754395239636448643e-06,1.914696234888700022e-05,1.912271427030219021e-05
7.000000000000000666e-02,3.700564738167700214e-05,3.688581912826523402e-05,-4.760851935735200295e-06,-4.763289495414030022e-06,1.905814731056600054e-05,1.903377171252637980e-05
7.199999999999999456e-02,3.645650604193299837e-05,3.633054702408596709e-05,-4.769590538576800024e-06,-4.772041558562417583e-06,1.897076128454100108e-05,1.894625108104250420e-05
7.399999999999999634e-02,3.591390270176300273e-05,3.578241128924860036e-05,-4.778189564699400286e-06,-4.780654549393508645e-06,1.888477102150299848e-05,1.886012117273159019e-05
7.599999999999999811e-02,3.537799458154500097e-05,3.524151060028403551e-05,-4.786652122970200027e-06,-4.789131395477383622e-06,1.880014543840199980e-05,1.877535271189284381e-05
7.799999999999999989e-02,3.484889998136399887e-05,3.470791027448971462e-05,-4.794981133575199640e-06,-4.797474856837976971e-06,1.871685533322000068e-05,1.869191809828691032e-05
8.000000000000000167e-02,3.432670406401999914e-05,3.418164765924257839e-05,-4.803179350566199887e-06,-4.805687547347025412e-06,1.863487316183999964e-05,1.860979119319642591e-05
8.200000000000000344e-02,3.381146380907899861e-05,3.366273669228794644e-05,-4.811249382425099976e-06,-4.813771952900285358e-06,1.855417284212500058e-05,1.852894713766382306e-05
8.400000000000000522e-02,3.330321224909999877e-05,3.315117175961592431e-05,-4.819193709184800041e-06,-4.821730446869683926e-06,1.847472957602799872e-05,1.844936219796983738e-05
8.599999999999999312e-02,3.280196218601899745e-05,3.264693095833089744e-05,-4.827014696643399938e-06,-4.829565303248881489e-06,1.839651969972799978e-05,1.837101363417786005e-05
8.799999999999999489e-02,3.230770919623299735e-05,3.214997885558143617e-05,-4.834714609393199903e-06,-4.837278707845435645e-06,1.831952057326899954e-05,1.829387958821232697e-05
8.999999999999999667e-02,3.182043442855299673e-05,3.166026882073633326e-05,-4.842295621627799956e-06,-4.844872767818399823e-06,1.824371045314700091e-05,1.821793898848268349e-05
9.199999999999999845e-02,3.134010683144799987e-05,3.117774499620853935e-05,-4.849759826101700164e-06,-4.852349519814296671e-06,1.816906840748300157e-05,1.814317146852370484e-05
9.400000000000000022e-02,3.086668514898999806e-05,3.070234396233312871e-05,-4.857109243408700400e-06,-4.859710936915530912e-06,1.809557423324100039e-05,1.806955729751136752e-05
9.600000000000000200e-02,3.040011957302000042e-05,3.023399614322962704e-05,-4.864345827701700372e-06,-4.866958934582474545e-06,1.802320839092100160e-05,1.799707732084192610e-05
9.800000000000000377e-02,2.994035320013799877e-05,2.977262699339623371e-05,-4.871471473030799847e-06,-4.874095375742662720e-06,1.795195193640599851e-05,1.792571290924004944e-05
1.000000000000000056e-01,2.948732325933799952e-05,2.931815799869615376e-05,-4.878488019300400041e-06,-4.881122075156980066e-06,1.788178647702499892e-05,1.785544591509687768e-05
