time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0.99998301698302,0.99998301698302,0.9999817959818,0.9999817959818,4.7952047952048e-05,2.4841824841825e-05,0.01,0,0,-4.1824841824842e-06,-4.1824841824842e-06,0.89999890108024,0.89999890108024,2.5,2.5,0
0.002,0.99998268899796,0.99996843834498,0.99998566724944,0.99998144483374,4.8876248834701e-05,2.4034832975876e-05,0.0099998317085713,-8.4145714357908e-05,7.3152467503716e-05,-4.2631833690792e-06,-4.2631833690792e-06,0.90001550650343,0.89999888023281,2.5,2.5,-0.00010000000000001
0.004,0.99998252136204,0.99996795673859,0.99998558300453,0.99998126756059,4.9338728333946e-05,2.3626335354534e-05,0.0099997465197998,-4.2594385975091e-05,4.2055694512003e-05,-4.3040331239478e-06,-4.3040331310201e-06,0.90001586414748,0.89999887155905,2.5,2.5,-9.9999999986757e-05
0.006,0.99998238955024,0.99996766799119,0.99998549579346,0.99998113385003,4.9676860581963e-05,2.3315356778039e-05,0.0099996816678046,-3.2425997855006e-05,3.2204275355623e-05,-4.3351309877221e-06,-4.3351309906098e-06,0.90001604554068,0.89999886984998,2.5,2.5,-9.9999999978792e-05
0.008,0.99998227062494,0.99996744317212,0.9999854168917,0.99998102357245,4.9935367496073e-05,2.3053430221031e-05,0.0099996270452042,-2.731130025844e-05,2.7169010425723e-05,-4.3613236440337e-06,-4.3613236459901e-06,0.90001617687419,0.89999887763294,2.5,2.5,-0.00010000000001097
0.01,0.99998215352487,0.9999672519022,0.99998534509195,0.99998092979628,5.0123323912693e-05,2.2822179957475e-05,0.0099995788198901,-2.4112656974295e-05,2.4004490271023e-05,-4.3844486699098e-06,-4.3844486712513e-06,0.90001628440398,0.89999889862469,2.5,2.5,-9.9999999996395e-05
0.012,0.99998203123683,0.99996708205816,0.9999852788711,0.99998084948483,5.0240363656215e-05,2.2612399006065e-05,0.009999535071821,-2.1874034493413e-05,2.1784782368399e-05,-4.4054267652582e-06,-4.4054267666834e-06,0.90001637767067,0.89999893640412,2.5,2.5,-9.9999999996135e-05
0.014,0.99998189910647,0.99996692740478,0.99998521709096,0.99998078103121,5.0284396013579e-05,2.241871293426e-05,0.0099994946802042,-2.0195808319767e-05,2.0118626959755e-05,-4.4247953729888e-06,-4.4247953740006e-06,0.90001646126194,0.8999989937141,2.5,2.5,-0.00010000000000381
0.016,0.99998175427054,0.99996678424057,0.99998515892844,0.99998072336403,5.0254500797962e-05,2.2237666242144e-05,0.009999456924425,-1.8877889599108e-05,1.8809123671817e-05,-4.4429000419885e-06,-4.4429000433838e-06,0.90001653776838,0.89999907216723,2.5,2.5,-0.00010000000000063
0.018,0.99998159529846,0.99996665015788,0.99998510377759,0.99998067558775,5.015183094666e-05,2.2066883868597e-05,0.0099994213091847,-1.7807620129328e-05,1.7745086400235e-05,-4.4599782791555e-06,-4.4599782801183e-06,0.9000166088116,0.89999917224517,2.5,2.5,-9.9999999993992e-05
0.02,0.99998142186346,0.99996652348707,0.9999850511807,0.99998063684695,4.9979570090153e-05,2.1904651699881e-05,0.0099993874770177,-1.6916083538899e-05,1.6858371168339e-05,-4.4762014962615e-06,-4.4762014971618e-06,0.90001667548249,0.89999929347204,2.5,2.5,-0.00010000000000029
0.022,0.99998123443593,0.99996640301485,0.99998500078402,0.99998060628886,4.9742486470368e-05,2.1749685808493e-05,0.0099993551601719,-1.6158422918517e-05,1.6104565537109e-05,-4.4916980857689e-06,-4.4916980865057e-06,0.90001673855456,0.89999943465706,2.5,2.5,-9.9999999998088e-05
0.024,0.99998103401555,0.99996628782766,0.99998495230819,0.99998058306731,4.9446381226274e-05,2.1600996143739e-05,0.0099993241521821,-1.5503994965063e-05,1.5453300247738e-05,-4.5065670518991e-06,-4.5065670527984e-06,0.90001679859873,0.89999959413892,2.5,2.5,-9.9999999999683e-05
0.026,0.99998082191524,0.99996617721789,0.99998490552879,0.9999805663592,4.9097580582958e-05,2.1457801381915e-05,0.0099992942901078,-1.4931037110982e-05,1.4882991144404e-05,-4.5208865280029e-06,-4.5208865287114e-06,0.90001685604991,0.89999976999518,2.5,2.5,-0.00010000000000165
0.028,0.99998059959833,0.99996607062501,0.99998486026292,0.99998055538189,4.8702531647996e-05,2.1319473220893e-05,0.0099992654429223,-1.4423592687577e-05,1.4377802955182e-05,-4.5347193442861e-06,-4.5347193449718e-06,0.90001691124787,0.89999996020446,2.5,2.5,-0.00010000000000336
0.03,0.99998036856325,0.99996596759699,0.99998481635937,0.99998054940638,4.8267512178461e-05,2.1185498589363e-05,0.0099992375036291,-1.396964670763e-05,1.3925806312205e-05,-4.5481168075717e-06,-4.5481168082184e-06,0.90001696446346,0.90000016276203,2.5,2.5,-9.9999999994866e-05
0.032,0.99998013026715,0.99996586776382,0.9999847736921,0.99998054776518,4.7798441154282e-05,2.1055453141069e-05,0.0099992103837342,-1.3559947507887e-05,1.3517811886598e-05,-4.5611213527858e-06,-4.5611213533225e-06,0.90001701591622,0.90000037575571,2.5,2.5,-9.999999999837e-05
0.034,0.99997988607851,0.99996577081881,0.9999847321549,0.99998054985569,4.730076921869e-05,2.0928982148365e-05,0.0099991840092635,-1.3187235364331e-05,1.3146606436084e-05,-4.5737684514761e-06,-4.5737684519042e-06,0.90001706578659,0.90000059741149,2.5,2.5,-9.9999999999449e-05
0.036,0.9999796372519,0.9999656765051,0.99998469165761,0.99998055514006,4.6779427816996e-05,2.080578641497e-05,0.0099991583178198,-1.2845721836664e-05,1.2806437042381e-05,-4.5860880248773e-06,-4.5860880254242e-06,0.90001711422464,0.90000082611618,2.5,2.5,-9.9999999996254e-05
0.038,0.99997938491629,0.99996558460579,0.99998465212325,0.99998056314234,4.6238818803954e-05,2.0685611591947e-05,0.0099991332563617,-1.2530729130201e-05,1.2492653574897e-05,-4.5981055073226e-06,-4.5981055078117e-06,0.90001716135629,0.90000106042534,2.5,2.5,-9.9999999996121e-05
0.04,0.99997913007424,0.99996549493621,0.99998461348559,0.99998057344467,4.5682830090541e-05,2.0568239999335e-05,0.009999108779494,-1.2238433892482e-05,1.2201454540816e-05,-4.6098426666552e-06,-4.6098426671035e-06,0.90001720728816,0.90000129906052,2.5,2.5,-9.9999999999367e-05
0.042,0.99997887360616,0.99996540733799,0.99998457568739,0.99998058568199,4.5114867133747e-05,2.0453484213017e-05,0.0099990848481314,-1.1965681373525e-05,1.1929702742481e-05,-4.6213182451244e-06,-4.6213182455696e-06,0.90001725211122,0.90000154090083,2.5,2.5,-9.999999999516e-05
0.044,0.9999786162786,0.99996532167486,0.99998453867893,0.99998059953706,4.4537892645793e-05,2.0341181975344e-05,0.0099990614284357,-1.1709847760898e-05,1.1674788664926e-05,-4.6325484686939e-06,-4.6325484692114e-06,0.90001729590343,0.9000017849708,2.5,2.5,-9.9999999996985e-05
0.046,0.99997835875417,0.9999652378285,0.99998450241677,0.99998061473513,4.3954469780575e-05,2.0231192096234e-05,0.0099990384909629,-1.1468736447729e-05,1.143452739011e-05,-4.6435474566446e-06,-4.6435474572643e-06,0.90001733873214,0.90000203042683,2.5,2.5,-9.9999999996667e-05
0.048,0.99997810160173,0.99996515569613,0.99998446686288,0.99998063103898,4.3366805439033e-05,2.0123391115432e-05,0.0099990160099665,-1.1240498170974e-05,1.1207079386965e-05,-4.6543275548857e-06,-4.654327555518e-06,0.90001738065567,0.90000227654339,2.5,2.5,-0.0001000000000042
0.05,0.99997784530731,0.99996507518746,0.99998443198366,0.99998064824444,4.2776791738672e-05,2.001767057202e-05,0.0099989939628283,-1.1023569115694e-05,1.0990888859543e-05,-4.6648996093625e-06,-4.6648996097639e-06,0.900017421725,0.90000252269933,2.5,2.5,-9.9999999999216e-05
0.052,0.99997759028348,0.99996499622332,0.99998439774943,0.99998066617604,4.2186044694484e-05,1.9913934741856e-05,0.0099989723295854,-1.0816621395421e-05,1.078463477078e-05,-4.6752731921047e-06,-4.6752731927716e-06,0.9000174619847,0.90000276836536,2.5,2.5,-0.00010000000000132
0.054,0.99997733687882,0.99996491873371,0.99998436413377,0.99998068468336,4.1595939356374e-05,1.9812098747611e-05,0.0099989510925374,-1.0618524066133e-05,1.0587191849135e-05,-4.6854567916137e-06,-4.6854567921129e-06,0.90001750147398,0.90000301309239,2.5,2.5,-9.9999999998099e-05
0.056,0.99997708538602,0.9999648426565,0.99998433111304,0.99998070363764,4.1007641493226e-05,1.971208697352e-05,0.0099989302359155,-1.0428310900062e-05,1.0397598715552e-05,-4.6954579691251e-06,-4.695457969568e-06,0.90001754022753,0.90000325650109,2.5,2.5,-0.00010000000000579
0.058,0.9999768360495,0.99996476793632,0.99998429866614,0.99998072292889,4.0422135590716e-05,1.9613831745228e-05,0.0099989097456065,-1.0245154411711e-05,1.0215032028071e-05,-4.7052834918712e-06,-4.7052834921783e-06,0.90001757827612,0.9000034982725,2.5,2.5,-0.00010000000000231
0.06,0.99997658907175,0.99996469452353,0.99998426677389,0.99998074246329,3.9840249642523e-05,1.9517272197001e-05,0.0099988896089175,-1.0068344506101e-05,1.003878516171e-05,-4.7149394465021e-06,-4.7149394470262e-06,0.90001761564724,0.90000373813991,2.5,2.5,-9.999999999924e-05
0.062,0.99997634461932,0.9999646223734,0.99998423541901,0.99998076216094,3.926267675046e-05,1.9422353322899e-05,0.009998869814377,-9.8972702718398e-06,9.8682502125278e-06,-4.7244313342272e-06,-4.7244313346608e-06,0.90001765236552,0.90000397588153,2.5,2.5,-0.00010000000000156
0.064,0.99997610282768,0.99996455144549,0.99998420458569,0.99998078195394,3.8689994040564e-05,1.9329025162225e-05,0.0099988503515664,-9.731405342583e-06,9.7029033634433e-06,-4.7337641503464e-06,-4.7337641508344e-06,0.90001768845317,0.90000421131428,2.5,2.5,-9.9999999995764e-05
0.066,0.99997586380578,0.99996448170317,0.99998417425949,0.99998080178466,3.8122679039498e-05,1.9237242112034e-05,0.0099988312109763,-9.5702950709946e-06,9.5422922032833e-06,-4.7429424554068e-06,-4.7429424559705e-06,0.9000177239302,0.90000444428828,2.5,2.5,-0.00010000000000313
0.068,0.99997562763971,0.99996441311275,0.99998414442717,0.99998082160435,3.7561123833054e-05,1.9146962348887e-05,0.0099988123838839,-9.4135461985228e-06,9.3860253395622e-06,-4.7519704318689e-06,-4.7519704323227e-06,0.90001775881492,0.90000467468212,2.5,2.5,-0.0001000000000022
0.07,0.99997539439623,0.99996434564349,0.99998411507636,0.99998084137184,3.7005647381677e-05,1.9058147310566e-05,0.0099987938622482,-9.2608178359272e-06,9.2337635092119e-06,-4.7608519353651e-06,-4.7608519357352e-06,0.90001779312397,0.90000490239869,2.5,2.5,-0.00010000000000243
0.072,0.99997516412536,0.99996427926684,0.99998408619573,0.99998086105245,3.6456506041933e-05,1.8970761284541e-05,0.0099987756386206,-9.1118138067276e-06,9.0852119573543e-06,-4.7695905381213e-06,-4.7695905385768e-06,0.90001782687275,0.90000512736176,2.5,2.5,-0.00010000000000097
0.074,0.99997493686291,0.99996421395651,0.99998405777457,0.99998088061712,3.5913902701763e-05,1.8884771021503e-05,0.009998757706068,-8.9662762631216e-06,8.9401140336755e-06,-4.7781895643088e-06,-4.7781895646994e-06,0.90001786007536,0.90000534951288,2.5,2.5,-0.00010000000000293
0.076,0.9999747126327,0.99996414968787,0.9999840298029,0.99998090004148,3.5377994581545e-05,1.8800145438402e-05,0.0099987400581077,-8.8239801860038e-06,8.798245791965e-06,-4.7866521226271e-06,-4.7866521229702e-06,0.90001789274496,0.90000556880874,2.5,2.5,-0.00010000000000064
0.078,0.99997449144828,0.999964086438,0.99998400227134,0.99998091930532,3.4848899981364e-05,1.871685533322e-05,0.0099987226886503,-8.6847287388524e-06,8.6594112992283e-06,-4.7949811332989e-06,-4.7949811335752e-06,0.90001792489375,0.90000578521893,2.5,2.5,-9.9999999995371e-05
0.08,0.99997427331446,0.99996402418513,0.99998397517098,0.9999809383919,3.432670406402e-05,1.863487316184e-05,0.0099987055919519,-8.5483491863982e-06,8.5234386000054e-06,-4.8031793501633e-06,-4.8031793505662e-06,0.90001795653324,0.90000599872404,2.5,2.5,-9.9999999999651e-05
0.082,0.99997405822879,0.99996396290893,0.99998394849337,0.99998095728748,3.3811463809079e-05,1.8554172842125e-05,0.0099986887625728,-8.4146895573909e-06,8.3901764340272e-06,-4.811249382211e-06,-4.8112493824251e-06,0.9000179876742,0.90000620931391,2.5,2.5,-0.00010000000000242
0.084,0.99997384618256,0.99996390259008,0.99998392223049,0.99998097598088,3.33032122491e-05,1.8474729576028e-05,0.0099986721953415,-8.283615688662e-06,8.259491233689e-06,-4.8191937088224e-06,-4.8191937091848e-06,0.90001801832676,0.90000641698632,2.5,2.5,-9.9999999997276e-05
