time,p_l2,ux_l2,uy_l2
0,0,0,0
0.0001,4.0563124506168e-08,1.6478116757594e-09,1.6843710489179e-09
0.0002,8.1788917921116e-08,3.2947284323048e-09,3.3703714253687e-09
0.0003,1.2373872132788e-07,4.9408978126872e-09,5.0577823393525e-09
0.0004,1.6642252904615e-07,6.5864405110474e-09,6.7464119064124e-09
0.0005,2.0981789584935e-07,8.2314557074121e-09,8.4360925579873e-09
0.0006,2.5388311497251e-07,9.8760252585838e-09,1.0126678474659e-08
0.0007,2.9856620238116e-07,1.1520217017235e-08,1.1818043135198e-08
0.0008,3.4381087895017e-07,1.3164087456247e-08,1.3510077032183e-08
0.0009,3.8956043953685e-07,1.4807683763177e-08,1.5202685581724e-08
0.001,4.357601576064e-07,1.6451045515987e-08,1.6895787229314e-08
0.0011,4.8235868853194e-07,1.8094206028338e-08,1.8589311759507e-08
0.0012,5.2930880093772e-07,1.9737193438544e-08,2.0283198795347e-08
0.0013,5.7656766380014e-07,2.138003158614e-08,2.1977396472776e-08
0.0014,6.2409684978795e-07,2.3022740735711e-08,2.3671860279858e-08
0.0015,6.7186216295705e-07,2.4665338157984e-08,2.5366552043472e-08
0.0016,7.1983336537602e-07,2.6307838614192e-08,2.7061439046331e-08
0.0017,7.6798385214076e-07,2.7950254753845e-08,2.8756493260317e-08
0.0018,8.1629030745558e-07,2.9592597440781e-08,3.0451690686224e-08
0.0019,8.6473236202315e-07,3.1234876029228e-08,3.2147010777236e-08
0.002,9.1329226562755e-07,3.2877098587688e-08,3.3842435950896e-08
0.0021,9.6195458114764e-07,3.4519272092517e-08,3.5537951160172e-08
0.0022,1.0107059044773e-06,3.6161402586454e-08,3.7233543532011e-08
0.0023,1.0595346108784e-06,3.780349531114e-08,3.8929202049916e-08
0.0024,1.1084306282806e-06,3.9445554824316e-08,4.0624917289349e-08
0.0025,1.1573852359099e-06,4.1087585093044e-08,4.2320681184349e-08
0.0026,1.2063908862939e-06,4.2729589575212e-08,4.4016486832682e-08
0.0027,1.2554410493271e-06,4.4371571290475e-08,4.5712328324431e-08
0.0028,1.304530075554e-06,4.6013532879045e-08,4.7408200600101e-08
0.0029,1.3536530769988e-06,4.7655476651527e-08,4.9104099324669e-08
0.003,1.4028058237946e-06,4.9297404632274e-08,5.0800020784289e-08
0.0031,1.4519846542506e-06,5.093931859846e-08,5.2495961794636e-08
0.0032,1.5011863969881e-06,5.2581220109486e-08,5.4191919624014e-08
0.0033,1.5504083036059e-06,5.4223110536334e-08,5.5887891927348e-08
0.0034,1.5996479905447e-06,5.5864991085441e-08,5.75838766917e-08
0.0035,1.6489033891329e-06,5.7506862817812e-08,5.9279872185631e-08
0.0036,1.6981727020915e-06,5.914872666926e-08,6.0975876920303e-08
0.0037,1.7474543662551e-06,6.0790583463972e-08,6.2671889612634e-08
0.0038,1.7967470205806e-06,6.2432433929215e-08,6.4367909157271e-08
0.0039,1.8460494784766e-06,6.4074278705977e-08,6.6063934599903e-08
0.004,1.8953607039996e-06,6.5716118360729e-08,6.7759965116313e-08
0.0041,1.9446797914896e-06,6.7357953392469e-08,6.9455999992357e-08
0.0042,1.9940059476613e-06,6.8999784243214e-08,7.1152038609889e-08
0.0043,2.0433384767484e-06,7.0641611301345e-08,7.2848080431678e-08
0.0044,2.0926767671556e-06,7.2283434910386e-08,7.4544124989548e-08
0.0045,2.1420202806215e-06,7.392525537515e-08,7.6240171877591e-08
0.0046,2.1913685421569e-06,7.5567072961988e-08,7.7936220739209e-08
0.0047,2.2407211317578e-06,7.7208887906911e-08,7.9632271263442e-08
0.0048,2.2900776774031e-06,7.8850700417721e-08,8.1328323176044e-08
0.0049,2.3394378488114e-06,8.0492510677428e-08,8.3024376237237e-08
0.005,2.3888013519568e-06,8.2134318846418e-08,8.4720430233809e-08
0.0051,2.438167924474e-06,8.3776125065698e-08,8.6416484977529e-08
0.0052,2.4875373319099e-06,8.5417929460051e-08,8.811254030197e-08
0.0053,2.5369093638115e-06,8.7059732136029e-08,8.9808596057344e-08
0.0054,2.5862838313346e-06,8.8701533188827e-08,9.1504652110587e-08
0.0055,2.6356605640875e-06,9.0343332699667e-08,9.3200708341378e-08
0.0056,2.6850394082569e-06,9.1985130740745e-08,9.4896764642121e-08
0.0057,2.7344202245534e-06,9.3626927372294e-08,9.6592820915346e-08
0.0058,2.7838028865102e-06,9.5268722647789e-08,9.8288877071688e-08
0.0059,2.8331872789937e-06,9.6910516611722e-08,9.9984933030037e-08
0.006,2.8825732969063e-06,9.8552309301634e-08,1.0168098871566e-07
0.0061,2.9319608441758e-06,1.001941007499e-07,1.0337704406099e-07
0.0062,2.9813498326687e-06,1.0183589098327e-07,1.0507309900213e-07
0.0063,3.030740181377e-06,1.034776800222e-07,1.0676915347997e-07
0.0064,3.0801318156829e-06,1.0511946788406e-07,1.0846520744057e-07
0.0065,3.1295246667122e-06,1.0676125458226e-07,1.10161260832e-07
0.0066,3.1789186707105e-06,1.0840304012646e-07,1.1185731360621e-07
0.0067,3.2283137686007e-06,1.1004482452351e-07,1.1355336571797e-07
0.0068,3.2777099053615e-06,1.116866077764e-07,1.1524941712438e-07
0.0069,3.3271070299115e-06,1.1332838988715e-07,1.1694546778417e-07
0.007,3.3765050945041e-06,1.1497017085512e-07,1.1864151765896e-07
0.0071,3.425904054572e-06,1.1661195067777e-07,1.2033756671107e-07
0.0072,3.475303868351e-06,1.1825372934956e-07,1.2203361490553e-07
0.0073,3.524704496755e-06,1.1989550686531e-07,1.2372966220727e-07
0.0074,3.5741059030575e-06,1.2153728321725e-07,1.2542570858408e-07
0.0075,3.6235080526519e-06,1.2317905839579e-07,1.271217540035e-07
0.0076,3.6729109130297e-06,1.2482083239299e-07,1.2881779843514e-07
0.0077,3.722314453393e-06,1.2646260519669e-07,1.3051384184894e-07
0.0078,3.7717186448604e-06,1.2810437679573e-07,1.3220988421582e-07
0.0079,3.8211234599304e-06,1.2974614717852e-07,1.3390592550707e-07
0.008,3.8705288727012e-06,1.3138791633097e-07,1.3560196569563e-07
0.0081,3.9199348585199e-06,1.3302968423908e-07,1.3729800475452e-07
0.0082,3.969341394106e-06,1.3467145089002e-07,1.3899404265686e-07
0.0083,4.0187484572506e-06,1.3631321626784e-07,1.4069007937704e-07
0.0084,4.0681560268214e-06,1.3795498035794e-07,1.4238611488939e-07
0.0085,4.1175640828491e-06,1.3959674314522e-07,1.4408214916972e-07
0.0086,4.1669726061672e-06,1.4123850461431e-07,1.4577818219304e-07
0.0087,4.2163815786381e-06,1.4288026474814e-07,1.4747421393565e-07
0.0088,4.2657909828563e-06,1.4452202353029e-07,1.4917024437337e-07
0.0089,4.3152008021473e-06,1.4616378094493e-07,1.5086627348289e-07
0.009,4.3646110207432e-06,1.4780553697576e-07,1.5256230124138e-07
0.0091,4.4140216234863e-06,1.4944729160495e-07,1.5425832762638e-07
0.0092,4.4634325958459e-06,1.5108904481633e-07,1.5595435261512e-07
0.0093,4.5128439239613e-06,1.5273079659247e-07,1.5765037618501e-07
0.0094,4.5622555945027e-06,1.5437254691555e-07,1.5934639831435e-07
0.0095,4.6116675947255e-06,1.5601429576945e-07,1.610424189822e-07
0.0096,4.6610799123697e-06,1.5765604313587e-07,1.6273843816576e-07
0.0097,4.7104925356773e-06,1.5929778899817e-07,1.6443445584432e-07
0.0098,4.7599054533686e-06,1.6093953333799e-07,1.6613047199657e-07
0.0099,4.809318654621e-06,1.6258127613853e-07,1.6782648660234e-07
0.01,4.8587321289799e-06,1.6422301738159e-07,1.6952249963971e-07
