time,p_l2,ux_l2,uy_l2
0,0,0,0
0.005,1.488007658826e-07,1.325869780061e-09,1.3596935131324e-09
0.01,3.0534688482581e-07,2.657874547968e-09,2.7277585161722e-09
0.015,4.6273563939723e-07,3.9905874953286e-09,4.0967488162561e-09
0.02,6.2022249465189e-07,5.3233151632466e-09,5.4657724693335e-09
0.025,7.7771277010629e-07,6.655934052692e-09,6.8346853141138e-09
0.03,9.3518909902769e-07,7.9883950848634e-09,8.2034356748997e-09
0.035,1.0926446228896e-06,9.320660745156e-09,9.5719851102789e-09
0.04,1.2500743598254e-06,1.0652696020368e-08,1.0940297765805e-08
0.045,1.4074738515848e-06,1.198446672048e-08,1.2308338584854e-08
0.05,1.564838858235e-06,1.331593902678e-08,1.3676072864157e-08
0.055,1.7221652531548e-06,1.464707932013e-08,1.5043466092168e-08
0.06,1.8794489753113e-06,1.5977854100837e-08,1.6410483871616e-08
0.065,2.0366860042804e-06,1.7308229946554e-08,1.7777091880165e-08
0.07,2.1938723461629e-06,1.8638173488704e-08,1.9143255847669e-08
0.075,2.3510040251817e-06,1.996765139851e-08,2.0508941543122e-08
0.08,2.5080770785017e-06,2.1296630378962e-08,2.1874114766697e-08
0.085,2.6650875529128e-06,2.2625077159657e-08,2.32387413449e-08
0.09,2.8220315026483e-06,2.3952958493751e-08,2.460278712802e-08
0.095,2.9789049879376e-06,2.5280241156113e-08,2.5966217987554e-08
0.1,3.1357040740151e-06,2.6606891942062e-08,2.7328999816283e-08
0.105,3.2924248304455e-06,2.7932877667254e-08,2.8691098527151e-08
0.11,3.4490633306596e-06,2.9258165167105e-08,3.0052480053396e-08
0.115,3.6056156516326e-06,3.0582721296958e-08,3.1413110348585e-08
0.12,3.7620778736804e-06,3.1906512932748e-08,3.2772955387266e-08
0.125,3.9184460803071e-06,3.322950697133e-08,3.4131981165026e-08
0.13,4.0747163581365e-06,3.4551670330339e-08,3.5490153699238e-08
0.135,4.2308847968555e-06,3.587296994957e-08,3.6847439029601e-08
0.14,4.3869474892079e-06,3.7193372791289e-08,3.8203803219148e-08
0.145,4.5429005310055e-06,3.851284584088e-08,3.9559212354143e-08
0.15,4.6987400211476e-06,3.9831356107581e-08,4.0913632545552e-08
0.155,4.8544620616709e-06,4.1148870625126e-08,4.2267029929962e-08
0.16,5.0100627577915e-06,4.2465356452911e-08,4.3619370669281e-08
0.165,5.1655382179779e-06,4.3780780675859e-08,4.4970620952542e-08
0.17,5.3208845539992e-06,4.5095110406381e-08,4.6320746996325e-08
0.175,5.476097881017e-06,4.6408312783994e-08,4.7669715045461e-08
0.18,5.6311743176412e-06,4.7720354976914e-08,4.901749137418e-08
0.185,5.7861099860232e-06,4.9031204182464e-08,5.0364042286428e-08
0.19,5.9409010119319e-06,5.0340827628046e-08,5.1709334116979e-08
0.195,6.0955435248442e-06,5.1649192571824e-08,5.3053333232668e-08
0.2,6.2500336580162e-06,5.2956266303434e-08,5.4396006032011e-08
