time,p_l2,ux_l2,uy_l2
0,0,0,0
0.005,9.7158094240247e-09,3.1411031607098e-11,3.165209799591e-11
0.01,2.0249174437901e-08,6.5390122007218e-11,6.5214302419207e-11
0.015,3.0885727348558e-08,9.9798216682343e-11,9.9001885221724e-11
0.02,4.1537552945935e-08,1.3428756959313e-10,1.3281776651366e-10
0.025,5.2191803541415e-08,1.687952918305e-10,1.6663594663499e-10
0.03,6.2845927774419e-08,2.0330687512597e-10,2.0045168994602e-10
0.035,7.3499057423174e-08,2.3781740488308e-10,2.342632591025e-10
0.04,8.4150691952419e-08,2.7232438074791e-10,2.6806947656905e-10
0.045,9.4800446946576e-08,3.0682611195599e-10,3.0186932650635e-10
0.05,1.0544798769099e-07,3.41321257494e-10,3.3566186313907e-10
0.055,1.1609300502509e-07,3.7580865548143e-10,3.6944617822462e-10
0.06,1.267352043757e-07,4.1028724510465e-10,4.03221383962e-10
0.065,1.3737430007999e-07,4.4475602817351e-10,4.3698660685625e-10
0.07,1.4801001220144e-07,4.7921404563709e-10,4.7074098190785e-10
0.075,1.5864206463704e-07,5.1366036492549e-10,5.0448364951763e-10
0.08,1.6927018394259e-07,5.4809407181661e-10,5.3821375535453e-10
0.085,1.7989409858373e-07,5.825142646479e-10,5.7193044636901e-10
0.09,1.9051353843128e-07,6.1692005145465e-10,6.0563287340498e-10
0.095,2.0112823442788e-07,6.5131054728383e-10,6.3932018830183e-10
0.1,2.1173791835272e-07,6.8568487264906e-10,6.72991544803e-10
0.105,2.2234232265721e-07,7.2004215173572e-10,7.0664609710691e-10
0.11,2.3294118034277e-07,7.5438151294013e-10,7.4028300170266e-10
0.115,2.4353422488374e-07,7.8870208669295e-10,7.7390141481077e-10
0.12,2.5412119015563e-07,8.2300300623283e-10,8.0750049453251e-10
0.125,2.6470181039778e-07,8.5728340590174e-10,8.4107939843412e-10
0.13,2.7527582017154e-07,8.9154242287871e-10,8.7463728622245e-10
0.135,2.8584295434614e-07,9.2577919493891e-10,9.0817331773276e-10
0.14,2.9640294807051e-07,9.5999286151946e-10,9.4168665339947e-10
0.145,3.0695553676645e-07,9.9418256321505e-10,9.75176454511e-10
0.15,3.1750045611862e-07,1.0283474419518e-09,1.0086418831507e-09
0.155,3.280374420674e-07,1.0624866405227e-09,1.0420821020221e-09
0.16,3.3856623080801e-07,1.0965993027598e-09,1.0754962745128e-09
0.165,3.490865587838e-07,1.1306845735121e-09,1.1088835649392e-09
0.17,3.5959816269281e-07,1.1647415986133e-09,1.1422431378817e-09
0.175,3.7010077948148e-07,1.1987695247144e-09,1.1755741588919e-09
0.18,3.8059414635254e-07,1.2327674996806e-09,1.2088757948895e-09
0.185,3.9107800076521e-07,1.2667346719998e-09,1.242147212322e-09
0.19,4.0155208043624e-07,1.3006701911908e-09,1.2753875796362e-09
0.195,4.1201612334849e-07,1.334573207874e-09,1.3085960654682e-09
0.2,4.2246986775094e-07,1.368442873175e-09,1.3417718390082e-09
