time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.000000000000000000e+00,4.795085080083700207e-05,4.795204795204794930e-05,-4.182221011705500140e-06,-4.182484182484183287e-06,2.484110236426399874e-05,2.484182484182483869e-05
1.000000000000000021e-03,4.861680288941799881e-05,4.868245200542793845e-05,-4.240302889688200376e-06,-4.246191647140103464e-06,2.426020926329000002e-05,2.420475019526564030e-05
2.000000000000000042e-03,4.893690277456900193e-05,4.899011682735328278e-05,-4.268224953481299632e-06,-4.273026856608043036e-06,2.398095285850300153e-05,2.393639810058624119e-05
3.000000000000000062e-03,4.918302822518600260e-05,4.922826642027135956e-05,-4.289711231533599801e-06,-4.293798793660333800e-06,2.376606245416299851e-05,2.372867873006333694e-05
4.000000000000000083e-03,4.938984407539600153e-05,4.943044545497061863e-05,-4.307814475457100231e-06,-4.311433388149350877e-06,2.358500665381599916e-05,2.355233278517316787e-05
5.000000000000000104e-03,4.957096281763300247e-05,4.960961871232725401e-05,-4.323777965945000367e-06,-4.327063827800302783e-06,2.342535108280699836e-05,2.339602838866364372e-05
6.000000000000000125e-03,4.973264646383399984e-05,4.977224411010556680e-05,-4.338236701206899939e-06,-4.341271208392559964e-06,2.328074495928499849e-05,2.325395458274107869e-05
7.000000000000000146e-03,4.987777690977500167e-05,4.992157495530280136e-05,-4.351564251527899731e-06,-4.354400685537405160e-06,2.314745210965800029e-05,2.312265981129261826e-05
8.000000000000000167e-03,5.000739867602700325e-05,5.005871445908088049e-05,-4.364001847627500309e-06,-4.366677120144294668e-06,2.302305992282200053e-05,2.299989546522372827e-05
8.999999999999999320e-03,5.012149220215899800e-05,5.018321593740684831e-05,-4.375715793470699910e-06,-4.378256682444215695e-06,2.290590514947799878e-05,2.288409984222451461e-05
1.000000000000000021e-02,5.021944522326500195e-05,5.029365013234561067e-05,-4.386826420246599870e-06,-4.389253065478037390e-06,2.279478432616800047e-05,2.277413601188629934e-05
1.099999999999999936e-02,5.030037269738500097e-05,5.038813469093962789e-05,-4.397424095266399780e-06,-4.399752088106227723e-06,2.268879366578399986e-05,2.266914578560440279e-05
1.200000000000000025e-02,5.036333917407800269e-05,5.046475355473693043e-05,-4.407578715640200130e-06,-4.409820415137878912e-06,2.258723410921600048e-05,2.256846251528788752e-05
1.299999999999999940e-02,5.040750781712500053e-05,5.052183580987802024e-05,-4.417345657073299652e-06,-4.419511055311170016e-06,2.248955182955799848e-05,2.247155611355497478e-05
1.400000000000000029e-02,5.043223141717599785e-05,5.055810613045742878e-05,-4.426769670896299773e-06,-4.428866982794121277e-06,2.239529925719399835e-05,2.237799683872546217e-05
1.499999999999999944e-02,5.043709869157299904e-05,5.057273832101617821e-05,-4.435887532326500118e-06,-4.437923610185397079e-06,2.230410859353299864e-05,2.228743056481270754e-05
1.600000000000000033e-02,5.042194760959599971e-05,5.056534541373812025e-05,-4.444729896231699944e-06,-4.446710529025674944e-06,2.221567325158000096e-05,2.219956137640992551e-05
1.700000000000000122e-02,5.038685620356199701e-05,5.053593374528858497e-05,-4.453322632131800161e-06,-4.455252766635067514e-06,2.212973450345199835e-05,2.211413900031599980e-05
1.799999999999999864e-02,5.033211931403200090e-05,5.048484053384338672e-05,-4.461687806293600267e-06,-4.463571713940553973e-06,2.204607165885699832e-05,2.203094952726113352e-05
1.899999999999999953e-02,5.025821778502900306e-05,5.041266748264030411e-05,-4.469844418562400172e-06,-4.471685823668554453e-06,2.196449469553599849e-05,2.194980842998113380e-05
2.000000000000000042e-02,5.016578488615999737e-05,5.032021767796692564e-05,-4.477808964758699739e-06,-4.479611144620568567e-06,2.188483863472700017e-05,2.187055522046099605e-05
2.100000000000000130e-02,5.005557304073599819e-05,5.020843946540816036e-05,-4.485595872520600153e-06,-4.487361736609646583e-06,2.180695918201899908e-05,2.179304930057020403e-05
2.199999999999999872e-02,4.992842289210599772e-05,5.007837872250702664e-05,-4.493217843630300146e-06,-4.494949996986198381e-06,2.173072930377500152e-05,2.171716669680468775e-05
2.299999999999999961e-02,4.978523574243400198e-05,4.993113961533548074e-05,-4.500686126279099711e-06,-4.502386920649450934e-06,2.165603650415100069e-05,2.164279746017217068e-05
2.400000000000000050e-02,4.962694982491000338e-05,4.976785321465302926e-05,-4.508010733989700133e-06,-4.509682309329770557e-06,2.158278063543899898e-05,2.156984357336897107e-05
2.500000000000000139e-02,4.945452044913699796e-05,4.958965302287842293e-05,-4.515200623381500061e-06,-4.516844941707745971e-06,2.151087212050400052e-05,2.149821724958921862e-05
2.599999999999999881e-02,4.926890379541599957e-05,4.939765636807823095e-05,-4.522263839971100086e-06,-4.523882712968331426e-06,2.144023049419099917e-05,2.142783953698335899e-05
2.699999999999999969e-02,4.907104402542199846e-05,4.919295065308470100e-05,-4.529207638680799923e-06,-4.530802750265469353e-06,2.137078319842000113e-05,2.135863916401198480e-05
2.800000000000000058e-02,4.886186329287000273e-05,4.897658354291797985e-05,-4.536038584351299772e-06,-4.537611509030200649e-06,2.130246457666099910e-05,2.129055157636466846e-05
2.900000000000000147e-02,4.864225423618399814e-05,4.874955629387662880e-05,-4.542762636113600176e-06,-4.544314853918907333e-06,2.123521503034099861e-05,2.122351812747760161e-05
2.999999999999999889e-02,4.841307456057200294e-05,4.851281955144503812e-05,-4.549385218781600043e-06,-4.550918127350374463e-06,2.116898030471100095e-05,2.115748539316293032e-05
3.099999999999999978e-02,4.817514331201499774e-05,4.826727106024093425e-05,-4.555911283645700236e-06,-4.557426207940567056e-06,2.110371088078099967e-05,2.109240458726100608e-05
3.200000000000000067e-02,4.792923858460700109e-05,4.801375483242033987e-05,-4.562345360544600400e-06,-4.563843560656345369e-06,2.103936145467299884e-05,2.102823106010321617e-05
3.300000000000000155e-02,4.767609629143400291e-05,4.775306140963447290e-05,-4.568691602786299637e-06,-4.570174280134419650e-06,2.097589048820100135e-05,2.096492386532247844e-05
3.400000000000000244e-02,4.741640983577899665e-05,4.748592892807581493e-05,-4.574953826071100193e-06,-4.576422128321330992e-06,2.091325981984100058e-05,2.090244538345336842e-05
3.500000000000000333e-02,4.715083046090199866e-05,4.721304475760099671e-05,-4.581135542429299625e-06,-4.582590567363592440e-06,2.085143432491900063e-05,2.084076099303074715e-05
3.599999999999999728e-02,4.687996809959199692e-05,4.693504753600030667e-05,-4.587239989923399744e-06,-4.588682788499209489e-06,2.079038161890099917e-05,2.077983878167458174e-05
3.699999999999999817e-02,4.660439260972399749e-05,4.665252945989398437e-05,-4.593270158818699787e-06,-4.594701737561383874e-06,2.073007179551999884e-05,2.071964929105283789e-05
3.799999999999999906e-02,4.632463526304800218e-05,4.636603872607685266e-05,-4.599228814687399917e-06,-4.600650137593840102e-06,2.067047719563300137e-05,2.066016529072827731e-05
3.899999999999999994e-02,4.604119043878700203e-05,4.607608204283464753e-05,-4.605118518971000252e-06,-4.606530508988415438e-06,2.061157220176799927e-05,2.060136157678252395e-05
4.000000000000000083e-02,4.575451742067399735e-05,4.578312715105381747e-05,-4.610941647216699999e-06,-4.612345187484506647e-06,2.055333305557599887e-05,2.054321479182161017e-05
4.100000000000000172e-02,4.546504225650900078e-05,4.548760531088234371e-05,-4.616700405462500187e-06,-4.618096340312818318e-06,2.049573769398900028e-05,2.048570326353849007e-05
4.200000000000000261e-02,4.517315961651399887e-05,4.518991372213600931e-05,-4.622396844871700220e-06,-4.623785980719700240e-06,2.043876560284699846e-05,2.042880685946966746e-05
4.299999999999999656e-02,4.487923468904100280e-05,4.489041785629199267e-05,-4.628032874943200006e-06,-4.629415981070930054e-06,2.038239768471000117e-05,2.037250685595737271e-05
4.399999999999999745e-02,4.458360498358800297e-05,4.458945368534292486e-05,-4.633610275443799620e-06,-4.634988084703285592e-06,2.032661614000700074e-05,2.031678581963382410e-05
4.499999999999999833e-02,4.428658211111599912e-05,4.428732979846612921e-05,-4.639130707105400420e-06,-4.640503916667283338e-06,2.027140435917700091e-05,2.026162749999384157e-05
4.599999999999999922e-02,4.398845349328400132e-05,4.398432940176499043e-05,-4.644595721469599733e-06,-4.645964993483895980e-06,2.021674682502400052e-05,2.020701673182771684e-05
4.700000000000000011e-02,4.368948399949900232e-05,4.368071219956099242e-05,-4.650006769654199801e-06,-4.651372732021075692e-06,2.016262902437700009e-05,2.015293934645592480e-05
4.800000000000000100e-02,4.338991748451699728e-05,4.337671615809218561e-05,-4.655365210497100070e-06,-4.656728457581794768e-06,2.010903736742500111e-05,2.009938209084873235e-05
4.900000000000000189e-02,4.308997830513700114e-05,4.307255915419406009e-05,-4.660672317809800308e-06,-4.662033411283490674e-06,2.005595911442200160e-05,2.004633255383176651e-05
5.000000000000000278e-02,4.278987268624499779e-05,4.276844051275108775e-05,-4.665929288759399789e-06,-4.667288756798888924e-06,2.000338229142399930e-05,1.999377909867778739e-05
5.099999999999999672e-02,4.248979035383099883e-05,4.246454243752830404e-05,-4.671137243099000095e-06,-4.672495586519785606e-06,1.995129570463100098e-05,1.994171080146881549e-05
5.199999999999999761e-02,4.218990372840799783e-05,4.216103134051387520e-05,-4.676297240440899878e-06,-4.677654927198244455e-06,1.989968873730800017e-05,1.989011739468423887e-05
5.299999999999999850e-02,4.189037365012300226e-05,4.185805907519929989e-05,-4.681410275292899633e-06,-4.682767745113549500e-06,1.984855148567700049e-05,1.983898921553117994e-05
5.399999999999999939e-02,4.159134460560400323e-05,4.155576407934825179e-05,-4.686477287162300221e-06,-4.687834950808030653e-06,1.979787451190900122e-05,1.978831715858637180e-05
5.500000000000000028e-02,4.129295095396900262e-05,4.125427243280411447e-05,-4.691499163428999666e-06,-4.692857403430309842e-06,1.974764894201000125e-05,1.973809263236358499e-05
5.600000000000000117e-02,4.099531470438600085e-05,4.095369883579257113e-05,-4.696476742767099684e-06,-4.697835914720602043e-06,1.969786642288400114e-05,1.968830751946065960e-05
5.700000000000000205e-02,4.069854686776200092e-05,4.065414751301725066e-05,-4.701410815832599878e-06,-4.702771252669240314e-06,1.964851901066899862e-05,1.963895413997426842e-05
5.800000000000000294e-02,4.040274940259099831e-05,4.035571304864239787e-05,-4.706302137424499633e-06,-4.707664144876551411e-06,1.959959916825399965e-05,1.959002521790116592e-05
5.899999999999999689e-02,4.010801480293099897e-05,4.005848115702316168e-05,-4.711151420012499936e-06,-4.712515281639553116e-06,1.955109978176400068e-05,1.954151385027114548e-05
5.999999999999999778e-02,3.981442684919099810e-05,3.976252939379353545e-05,-4.715959342468500209e-06,-4.717325318788566782e-06,1.950301405593500085e-05,1.949341347878100713e-05
6.099999999999999867e-02,3.952206247609599808e-05,3.946792781166254802e-05,-4.720726550043800423e-06,-4.722094880294709154e-06,1.945533551820600115e-05,1.944571786371958680e-05
6.199999999999999956e-02,3.923099093819500062e-05,3.917473956500761121e-05,-4.725453657648999857e-06,-4.726824560667365766e-06,1.940805804626699941e-05,1.939842105999302406e-05
6.300000000000000044e-02,3.894127443062600220e-05,3.888302146709593016e-05,-4.730141253644899832e-06,-4.731514927159033798e-06,1.936117573862400080e-05,1.935151739507633866e-05
6.400000000000000133e-02,3.865297026764400227e-05,3.859282450351256218e-05,-4.734789896472899925e-06,-4.736166521793423879e-06,1.931468301763100104e-05,1.930500144873244293e-05
6.500000000000000222e-02,3.836612998236699722e-05,3.830419430513071238e-05,-4.739400125219199657e-06,-4.740779863231295796e-06,1.926857449379200138e-05,1.925886803435371698e-05
6.600000000000000311e-02,3.808079895691600147e-05,3.801717158372714468e-05,-4.743972451130199908e-06,-4.745355448487327364e-06,1.922284505016599870e-05,1.921311218179340977e-05
6.700000000000000400e-02,3.779701887702899960e-05,3.773179253312479512e-05,-4.748507369495600129e-06,-4.749893754510113777e-06,1.917748972695000164e-05,1.916772912156553717e-05
6.800000000000000488e-02,3.751482635053799851e-05,3.744808919853530852e-05,-4.753005352688199866e-06,-4.754395239636448643e-06,1.913250381025499868e-05,1.912271427030219021e-05
6.900000000000000577e-02,3.723425372412999976e-05,3.716608981657774859e-05,-4.757466855262600036e-06,-4.758860344930040074e-06,1.908788275293700048e-05,1.907806321736627421e-05
7.000000000000000666e-02,3.695533084727300023e-05,3.688581912826523402e-05,-4.761892317317800058e-06,-4.763289495414030022e-06,1.904362214035500118e-05,1.903377171252637980e-05
7.099999999999999367e-02,3.667808299814099703e-05,3.660729866707869581e-05,-4.766282160928000067e-06,-4.767683101205868505e-06,1.899971776445099933e-05,1.898983565460799497e-05
7.199999999999999456e-02,3.640253328266400125e-05,3.633054702408596709e-05,-4.770636795995900122e-06,-4.772041558562417583e-06,1.895616552705300126e-05,1.894625108104250420e-05
7.299999999999999545e-02,3.612870112856899783e-05,3.605558009191473618e-05,-4.774956614741299918e-06,-4.776365250842496730e-06,1.891296150188100068e-05,1.890301415824170933e-05
7.399999999999999634e-02,3.585660269702599780e-05,3.578241128924860036e-05,-4.779241999406399961e-06,-4.780654549393508645e-06,1.887010186493299997e-05,1.886012117273159019e-05
7.499999999999999722e-02,3.558625341877300091e-05,3.551105176738621444e-05,-4.783493321931900398e-06,-4.784909814368232271e-06,1.882758288082700030e-05,1.881756852298435223e-05
7.599999999999999811e-02,3.531766533466899899e-05,3.524151060028403551e-05,-4.787710939777499907e-06,-4.789131395477383622e-06,1.878540100532800070e-05,1.877535271189284381e-05
7.699999999999999900e-02,3.505084832601299780e-05,3.497379495939208867e-05,-4.791895202601300200e-06,-4.793319632683085041e-06,1.874355271696699949e-05,1.873347033983582284e-05
7.799999999999999989e-02,3.478581172603300155e-05,3.470791027448971462e-05,-4.796046449925700019e-06,-4.797474856837976971e-06,1.870203462575499982e-05,1.869191809828691032e-05
7.900000000000000078e-02,3.452256093394299763e-05,3.444386038163356879e-05,-4.800165010724199756e-06,-4.801597390274309043e-06,1.866084345716799851e-05,1.865069276392358451e-05
8.000000000000000167e-02,3.426110145419500314e-05,3.418164765924257839e-05,-4.804251206199100312e-06,-4.805687547347025412e-06,1.861997597634000042e-05,1.860979119319642591e-05
8.100000000000000255e-02,3.400143679134799967e-05,3.392127315326372994e-05,-4.808305351313200403e-06,-4.809745634934493364e-06,1.857942904538099939e-05,1.856921031732174638e-05
8.200000000000000344e-02,3.374356869942199861e-05,3.366273669228794644e-05,-4.812327751951300209e-06,-4.813771952900285358e-06,1.853919960931100006e-05,1.852894713766382306e-05
8.300000000000000433e-02,3.348749856244299787e-05,3.340603699341660875e-05,-4.816318705081800022e-06,-4.817766794519099368e-06,1.849928468700100045e-05,1.848899872147568804e-05
8.400000000000000522e-02,3.323322597483600302e-05,3.315117175961592431e-05,-4.820278505517299635e-06,-4.821730446869683926e-06,1.845968132471699906e-05,1.844936219796983738e-05
8.500000000000000611e-02,3.298074929269599734e-05,3.289813776923762351e-05,-4.824207437643700244e-06,-4.825663191197408872e-06,1.842038668577300115e-05,1.841003475469258792e-05
8.599999999999999312e-02,3.273006710821199959e-05,3.264693095833089744e-05,-4.828105783114600066e-06,-4.829565303248881489e-06,1.838139796107499842e-05,1.837101363417786005e-05
8.699999999999999400e-02,3.248117558527500092e-05,3.239754649632064468e-05,-4.831973815838400044e-06,-4.833437053580850102e-06,1.834271241625899968e-05,1.833229613085817731e-05
8.799999999999999489e-02,3.223407043210500301e-05,3.214997885558143617e-05,-4.835811805174099872e-06,-4.837278707845435645e-06,1.830432734385699999e-05,1.829387958821232697e-05
8.899999999999999578e-02,3.198874813951299985e-05,3.190422187539453363e-05,-4.839620015846799672e-06,-4.841090527053571611e-06,1.826624009412900024e-05,1.825576139613096561e-05
8.999999999999999667e-02,3.174520282308200076e-05,3.166026882073633326e-05,-4.843398707511500056e-06,-4.844872767818399823e-06,1.822844807571700137e-05,1.821793898848268349e-05
9.099999999999999756e-02,3.150342920902599985e-05,3.141811243631122081e-05,-4.847148135279600018e-06,-4.848625682580193250e-06,1.819094872700099952e-05,1.818040984086474583e-05
9.199999999999999845e-02,3.126341915035200209e-05,3.117774499620853935e-05,-4.850868551954699686e-06,-4.852349519814296671e-06,1.815373953982399947e-05,1.814317146852370484e-05
9.299999999999999933e-02,3.102516762528999999e-05,3.093915834953341959e-05,-4.854560202517800048e-06,-4.856044524223420939e-06,1.811681804724100104e-05,1.810622142443247233e-05
9.400000000000000022e-02,3.078866629873000012e-05,3.070234396233312871e-05,-4.858223331146199960e-06,-4.859710936915530912e-06,1.808018181994999862e-05,1.806955729751136752e-05
9.500000000000000111e-02,3.055390731295399973e-05,3.046729295611520574e-05,-4.861858178002899925e-06,-4.863348995568488330e-06,1.804382844134699984e-05,1.803317671098179334e-05
9.600000000000000200e-02,3.032088303618200151e-05,3.023399614322962704e-05,-4.865464978483300117e-06,-4.866958934582474545e-06,1.800775557007799920e-05,1.799707732084192610e-05
9.700000000000000289e-02,3.008958406673100075e-05,3.000244405936598762e-05,-4.869043965319099777e-06,-4.870540985221184141e-06,1.797196086135799959e-05,1.796125681445483692e-05
9.800000000000000377e-02,2.986000251464600153e-05,2.977262699339623371e-05,-4.872595368952600227e-06,-4.874095375742662720e-06,1.793644203495500141e-05,1.792571290924004944e-05
9.900000000000000466e-02,2.963212889585600124e-05,2.954453501477548742e-05,-4.876119416072500001e-06,-4.877622331520624046e-06,1.790119682132100095e-05,1.789044335146044296e-05
1.000000000000000056e-01,2.940595365314100100e-05,2.931815799869615376e-05,-4.879616329362900347e-06,-4.881122075156980066e-06,1.786622296181799910e-05,1.785544591509687768e-05
