case,label,fabric_angle_deg,time,p_min,p_max,p_max_x,p_max_y
fabric_contour_iso,isotropic,,0.0,4.795204795204795e-05,4.795204795204795e-05,0.0,0.0
fabric_contour_iso,isotropic,,0.0006,1.0392029411432843e-40,3.585517145415826e-05,0.2,0.0
fabric_contour_iso,isotropic,,0.0012,-3.8303488235688726e-63,3.592496736438289e-05,0.15,0.05
fabric_contour_iso,isotropic,,0.0017999999999999997,9.218256436388349e-85,3.597807082312006e-05,0.025,0.0
fabric_contour_iso,isotropic,,0.0024,-1.0818278402255709e-105,3.602268826609232e-05,0.0,0.08750000000000001
fabric_contour_iso,isotropic,,0.0029999999999999996,-1.4602211529504977e-127,3.606194309585106e-05,0.0,0.1
fabric_contour_a45,"coupled, $45^\circ$",45,0.0,4.795204795204795e-05,4.795204795204795e-05,0.0,0.0
fabric_contour_a45,"coupled, $45^\circ$",45,0.0006,-2.2930180912725535e-49,4.9622180278163634e-05,0.0,0.1
fabric_contour_a45,"coupled, $45^\circ$",45,0.0012,-1.5052413437569284e-70,4.935625112266192e-05,0.0,0.1
fabric_contour_a45,"coupled, $45^\circ$",45,0.0017999999999999997,7.032755699064187e-94,4.945669896279392e-05,0.0,0.1
fabric_contour_a45,"coupled, $45^\circ$",45,0.0024,9.396828791014211e-115,4.959916287363381e-05,0.0,0.1
fabric_contour_a45,"coupled, $45^\circ$",45,0.0029999999999999996,-5.3728051089515955e-136,4.973659107895197e-05,0.0,0.1
