case,label,fabric_angle_deg,fabric_coupling,time,B_anisotropy,B_par,B_per,J,Jbar,drained_c11,drained_c12,energy,ln_a,ln_h,mass,sigma11,sigma22,solid_fraction
fabric_probe_iso,no coupling,,0.0,1.0,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,0.69032258064516,0.090322580645161,0.00010696370967742,0.011322580645161,-0.005,0.11094032258065,-0.011225806451613,-0.022475806451613,0.88986037554165
fabric_probe_coup_a0,"coupling 0.4, $0^\circ$",0.0,0.4,1.0,-0.05961556000636,0.85065441979279,0.91026997979915,1.005,0.99413513409929,0.86772712039591,0.12618236557907,0.00011310154276998,0.010864865900713,-0.0041805204954585,0.11052837931064,-0.0089667290197921,-0.022060557905011,0.89027026934265
fabric_probe_coup_a45,"coupling 0.4, $45^\circ$",45.0,0.4,1.0,-0.05961556000636,0.85065441979279,0.91026997979915,1.005,0.9936383377659,1.2858720611294,-0.21412793887058,0.00015430525088121,0.011361662234099,0.00035695023053683,0.11097549601069,-0.0036798836902723,-0.026179883690272,0.88982537710379
fabric_probe_coup_a90,"coupling 0.4, $90^\circ$",90.0,0.4,1.0,-0.05961556000636,0.85065441979279,0.91026997979915,1.005,0.99314154143251,1.0233963929636,0.12618236557907,0.00011893914049127,0.011858458567486,0.0048944209565322,0.11142261271074,-0.008602347494242,-0.020089900342045,0.88938048486494
fabric_probe_stiffaxial,frozen shape,,0.0,1.0,1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,1.2903210806474,-0.20967666935596,0.0001538385924901,0.011322580645161,-1.2499981250028e-08,0.11094032258065,-0.0037258252015848,-0.026225797076627,0.88986037554165
fabric_probe_softaxial,soft axial,,0.0,1.0,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,0.35282258064516,0.25907258064516,8.0596522177419e-05,0.011322580645161,-0.0078125,0.11094032258065,-0.015444556451613,-0.020366431451613,0.88986037554165
fabric_probe_conformal,conformal limit,,,1.0,1.1102230246252e-16,0.6,0.6,1.005,0.99777777777778,1.9999999999985,0.50000000000075,0.00013999999999988,0.0072222222222222,-1.2499999999981e-14,0.10725,0.0054999999999813,-0.016999999999991,0.89353233830846
fabric_probe_a0,$0^\circ$,0.0,,1.0,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,0.69032258064516,0.090322580645161,0.00010696370967742,0.011322580645161,-0.005,0.11094032258065,-0.011225806451613,-0.022475806451613,0.88986037554165
fabric_probe_a45,$45^\circ$,45.0,,1.0,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,1.2528225806452,-0.24717741935484,0.00015336995967742,0.011322580645161,-0.0005,0.11094032258065,-0.0039133064516129,-0.026413306451613,0.88986037554165
fabric_probe_a90,$90^\circ$,90.0,,1.0,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,1.1403225806452,0.090322580645161,0.00012383870967742,0.011322580645161,0.004,0.11094032258065,-0.0067258064516129,-0.020225806451613,0.88986037554165
