time,pressure,pressure_reference,platen,platen_reference,edge_ux,edge_ux_reference
0.0,4.7952047952048e-05,4.795204795204795e-05,-4.1824841824842e-06,-4.182484182484183e-06,2.4841824841825e-05,2.484182484182484e-05
0.0002,4.8249535075974e-05,4.827655417259402e-05,-4.2084316705067e-06,-4.210788336165147e-06,2.4582349961598e-05,2.45587833050152e-05
0.0004,4.8389653424909e-05,4.841197965493432e-05,-4.2206531042762e-06,-4.2226004476803805e-06,2.4460135623904e-05,2.444066218986286e-05
0.0006,4.849738381486e-05,4.8516299829944646e-05,-4.2300495882973e-06,-4.231699485167395e-06,2.4366170783693e-05,2.4349671814992722e-05
0.0008,4.8587888294021e-05,4.860451994489338e-05,-4.2379435970548e-06,-4.239394239637918e-06,2.428723075872e-05,2.4272724270287496e-05
0.001,4.8667457055451e-05,4.8682452005427925e-05,-4.244883760878e-06,-4.2461916471401035e-06,2.4217829092124e-05,2.420475019526564e-05
0.0012,4.8739322634965e-05,4.87530766880072e-05,-4.2511520303053e-06,-4.2523516888984066e-06,2.4155146379701e-05,2.4143149777682606e-05
0.0014,4.8805391336834e-05,4.881816460803606e-05,-4.256914693655e-06,-4.258028801923146e-06,2.4097519757979e-05,2.4086378647435217e-05
0.0016,4.8866896067195e-05,4.887886939154627e-05,-4.2622792688041e-06,-4.263323608040426e-06,2.4043873995291e-05,2.403343058626241e-05
0.0018,4.8924687284393e-05,4.893599233066736e-05,-4.2673199489335e-06,-4.268305997730432e-06,2.3993467201684e-05,2.3983606689362353e-05
0.002,4.8979380830498e-05,4.899011682735328e-05,-4.2720904434724e-06,-4.273026856608043e-06,2.3945762252085e-05,2.393639810058624e-05
0.0022,4.903143941176e-05,4.904168329243335e-05,-4.2766311115017e-06,-4.277524598284571e-06,2.3900355571408e-05,2.3891420683820968e-05
0.0024,4.9081221006057e-05,4.909103387314264e-05,-4.2809731789559e-06,-4.281829065603184e-06,2.3856934894567e-05,2.3848376010634835e-05
0.0026,4.9129009270537e-05,4.9138440654659656e-05,-4.2851413938267e-06,-4.2859639904451736e-06,2.381525273806e-05,2.380702676221494e-05
0.0028,4.9175033495862e-05,4.918412423696809e-05,-4.2891557623051e-06,-4.289948614070804e-06,2.3775109054937e-05,2.3767180525958634e-05
0.003,4.9219482103222e-05,4.922826642027136e-05,-4.2930327283009e-06,-4.293798793660334e-06,2.3736339396059e-05,2.3728678730063337e-05
0.0032,4.9262512057341e-05,4.9271019131652896e-05,-4.296786003475e-06,-4.297527781173525e-06,2.3698806641681e-05,2.369138885493143e-05
0.0034,4.9304255680857e-05,4.9312510867328e-05,-4.3004271629112e-06,-4.301146785857081e-06,2.366239504521e-05,2.365519880809586e-05
0.0036,4.9344825695047e-05,4.9352851441011674e-05,-4.3039660834871e-06,-4.3046653896114885e-06,2.3627005840554e-05,2.362001277055179e-05
0.0038,4.9384318892727e-05,4.939213554464867e-05,-4.307411273207e-06,-4.308091859691361e-06,2.3592553942099e-05,2.358574806975307e-05
0.004,4.9422818951598e-05,4.943044545497062e-05,-4.3107701231564e-06,-4.311433388149351e-06,2.3558965442901e-05,2.3552332785173168e-05
0.0042,4.9460398573259e-05,4.9467853111480336e-05,-4.3140491021574e-06,-4.314696277967071e-06,2.352617565352e-05,2.3519703886995954e-05
0.0044,4.9497121222324e-05,4.950442172270233e-05,-4.3172539103252e-06,-4.31788608970087e-06,2.3494127571762e-05,2.348780576965797e-05
0.0046,4.9533042383695e-05,4.954020701292519e-05,-4.3203896012684e-06,-4.321007758421533e-06,2.3462770661232e-05,2.3456589082451347e-05
0.0048,4.9568210617549e-05,4.957525819218664e-05,-4.3234606799519e-06,-4.324065687987447e-06,2.3432059875799e-05,2.3426009786792198e-05
0.005,4.9602668393111e-05,4.9609618712327254e-05,-4.32647118296e-06,-4.327063827800303e-06,2.3401954844404e-05,2.3396028388663644e-05
0.0052,4.9636452740954e-05,4.96433268580432e-05,-4.329424743578e-06,-4.330005735864624e-06,2.3372419238491e-05,2.3366609308020427e-05
0.0054,4.9669595787358e-05,4.9676416211776026e-05,-4.3323246464593e-06,-4.332894631024709e-06,2.3343420210141e-05,2.333772035641958e-05
0.0056,4.9702125227938e-05,4.9708916023609395e-05,-4.3351738721332e-06,-4.335733436566086e-06,2.3314927952856e-05,2.330933230100581e-05
0.0058,4.9734064672491e-05,4.9740851511243665e-05,-4.3379751357171e-06,-4.338524816864708e-06,2.3286915316454e-05,2.3281418498019587e-05
0.006,4.9765434001849e-05,4.977224411010557e-05,-4.3407309182171e-06,-4.34127120839256e-06,2.3259357491271e-05,2.325395458274108e-05
0.0062,4.9796249642558e-05,4.980311168941948e-05,-4.3434434942566e-06,-4.34397484610683e-06,2.3232231729856e-05,2.3226918205598375e-05
0.0064,4.9826524751317e-05,4.9833468746477664e-05,-4.3461149551703e-06,-4.346637786035931e-06,2.3205517121706e-05,2.3200288806307362e-05
0.0066,4.9856269565532e-05,4.986332658829338e-05,-4.3487472290981e-06,-4.349261924711523e-06,2.3179194383495e-05,2.3174047419551442e-05
0.0068,4.9885491506534e-05,4.989269350725813e-05,-4.3513420980465e-06,-4.351849015968716e-06,2.3153245694272e-05,2.314817650697952e-05
0.007,4.9914195426232e-05,4.99215749553028e-05,-4.3539012132639e-06,-4.354400685537405e-06,2.3127654541308e-05,2.3122659811292618e-05
0.0072,4.9942383805721e-05,4.994997371934505e-05,-4.3564261082718e-06,-4.356918443769656e-06,2.3102405591082e-05,2.3097482228970107e-05
0.0074,4.9970056916617e-05,4.997789009945101e-05,-4.3589182098785e-06,-4.359403696786133e-06,2.3077484575012e-05,2.3072629698805345e-05
0.0076,4.9997213023649e-05,5.000532209010669e-05,-4.3613788487427e-06,-4.361857756275167e-06,2.3052878186161e-05,2.3048089103914995e-05
0.0078,5.0023848532304e-05,5.003226556423589e-05,-4.3638092680529e-06,-4.364281848138342e-06,2.3028573993144e-05,2.3023848185283256e-05
0.008,5.004995820929e-05,5.005871445908088e-05,-4.366210631217e-06,-4.366677120144295e-06,2.3004560361567e-05,2.2999895465223728e-05
0.0082,5.0075535300488e-05,5.008466096272824e-05,-4.3685840290838e-06,-4.36904464872638e-06,2.2980826382283e-05,2.2976220179402873e-05
0.0084,5.0100571726441e-05,5.011009569988743e-05,-4.3709304860825e-06,-4.371385445038377e-06,2.2957361813153e-05,2.2952812216282895e-05
0.0086,5.0125058208016e-05,5.013500791547075e-05,-4.3732509654313e-06,-4.373700460364901e-06,2.2934157019103e-05,2.2929662063017667e-05
0.0088,5.0148984454714e-05,5.015938565455589e-05,-4.3755463747053e-06,-4.375990590968601e-06,2.2911202926494e-05,2.2906760756980663e-05
0.009,5.0172339287958e-05,5.018321593740685e-05,-4.377817569731e-06,-4.378256682444216e-06,2.2888490976885e-05,2.2884099842224515e-05
0.0092,5.0195110819775e-05,5.0206484928370056e-05,-4.3800653588061e-06,-4.3804995336394156e-06,2.2866013084518e-05,2.2861671330272518e-05
0.0094,5.021728652653e-05,5.022917809762429e-05,-4.382290506452e-06,-4.382719900194005e-06,2.284376160882e-05,2.2839467664726626e-05
0.0096,5.0238853445876e-05,5.0251280374942234e-05,-4.3844937364146e-06,-4.384918497741911e-06,2.2821729309427e-05,2.2817481689247573e-05
0.0098,5.0259798244145e-05,5.027277629480017e-05,-4.3866757347856e-06,-4.387096004814419e-06,2.2799909325474e-05,2.2795706618522485e-05
0.01,5.0280107358641e-05,5.029365013234561e-05,-4.3888371527366e-06,-4.389253065478037e-06,2.2778295146392e-05,2.27741360118863e-05
0.0102,5.0299767097102e-05,5.031388602989755e-05,-4.3909786087289e-06,-4.391390291736033e-06,2.2756880585577e-05,2.2752763749306347e-05
0.0104,5.0318763741093e-05,5.033346811380238e-05,-4.3931006911295e-06,-4.39350826571903e-06,2.273565976184e-05,2.2731584009476368e-05
0.0106,5.0337083611346e-05,5.035238060160294e-05,-4.3952039598544e-06,-4.395607541686871e-06,2.2714627074372e-05,2.271059124979796e-05
0.0108,5.0354713188098e-05,5.037060789959432e-05,-4.3972889484815e-06,-4.397688647861241e-06,2.2693777188861e-05,2.2689780188054263e-05
0.011,5.0371639171035e-05,5.038813469093963e-05,-4.3993561658715e-06,-4.399752088106228e-06,2.2673105014465e-05,2.2669145785604403e-05
0.0112,5.038784853563e-05,5.0404946014602674e-05,-4.4014060977396e-06,-4.40179834347195e-06,2.2652605695121e-05,2.264868323194717e-05
0.0114,5.0403328612303e-05,5.042102733542141e-05,-4.4034392082649e-06,-4.4038278736146595e-06,2.2632274590149e-05,2.262838793052008e-05
0.0116,5.0418067128945e-05,5.0436364605700025e-05,-4.4054559410323e-06,-4.405841118105171e-06,2.2612107261918e-05,2.260825548561496e-05
0.0118,5.0432052272023e-05,5.045094431873706e-05,-4.4074567207118e-06,-4.407838497636185e-06,2.2592099465844e-05,2.2588281690304818e-05
0.012,5.0445272709097e-05,5.046475355473693e-05,-4.409441953841e-06,-4.409820415137879e-06,2.2572247133731e-05,2.2568462515287888e-05
0.0122,5.0457717656783e-05,5.047778001956975e-05,-4.4114120300939e-06,-4.411787256810147e-06,2.2552546370676e-05,2.25487940985652e-05
0.0124,5.0469376855886e-05,5.049001207685529e-05,-4.4133673231983e-06,-4.413739393078982e-06,2.253299344006e-05,2.2529272735876845e-05
0.0126,5.0480240664024e-05,5.050143877384889e-05,-4.4153081917128e-06,-4.415677179483688e-06,2.2513584754282e-05,2.25098948718298e-05
0.0128,5.049030002963e-05,5.051204986160417e-05,-4.4172349800559e-06,-4.417600957500949e-06,2.2494316870545e-05,2.249065709165719e-05
0.013,5.0499546528676e-05,5.052183580987802e-05,-4.4191480191671e-06,-4.41951105531117e-06,2.2475186478901e-05,2.2471556113554975e-05
0.0132,5.0507972348704e-05,5.0530787817231264e-05,-4.4210476272628e-06,-4.421407788511934e-06,2.2456190398187e-05,2.2452588781547342e-05
0.0134,5.0515570340637e-05,5.053889781676189e-05,-4.4229341104794e-06,-4.423291460782979e-06,2.2437325565326e-05,2.243375205883688e-05
0.0136,5.0522333985728e-05,5.054615847788963e-05,-4.4248077634675e-06,-4.425162364506674e-06,2.2418589034366e-05,2.2415043021599942e-05
0.0138,5.0528257417521e-05,5.055256320459042e-05,-4.4266688703787e-06,-4.427020781347539e-06,2.2399977966038e-05,2.2396458853191276e-05
0.014,5.0533335411786e-05,5.055810613045743e-05,-4.4285177048352e-06,-4.428866982794121e-06,2.2381489623873e-05,2.2377996838725462e-05
0.0142,5.0537563377604e-05,5.056278211094411e-05,-4.4303545302423e-06,-4.430701230666111e-06,2.2363121370912e-05,2.2359654360005563e-05
0.0144,5.0540937373532e-05,5.05665867131213e-05,-4.4321796010064e-06,-4.432523777589433e-06,2.2344870659508e-05,2.2341428890772345e-05
0.0146,5.0543454065484e-05,5.056951620325818e-05,-4.4339931634985e-06,-4.434334867441717e-06,2.2326735034382e-05,2.2323317992249506e-05
