time,x,y,pressure,pressure_reference,normalized_error
0.01,0.0,0.0,5.0280107358641e-05,5.029365013234562e-05,-0.0002824232599650527
0.01,0.01,0.0,5.0279367114155e-05,5.0293384360577675e-05,-0.00029231799310625077
0.01,0.02,0.0,5.0278626869669e-05,5.0292583527124724e-05,-0.00029105446069119234
0.01,0.03,0.0,5.0277119270283e-05,5.029123705209572e-05,-0.0002944145748861355
0.01,0.04,0.0,5.0274844315997e-05,5.028932721757611e-05,-0.0003020288433476151
0.01,0.05,0.0,5.027256936171e-05,5.028682904065446e-05,-0.0002973737213208207
0.01,0.06,0.0,5.0268594743396e-05,5.028371009601036e-05,-0.00031521808264532686
0.01,0.07,0.0,5.0264620125081e-05,5.027993028842515e-05,-0.00031928069807282396
0.01,0.08,0.0,5.0259654405893e-05,5.027544157570407e-05,-0.00032922827043502023
0.01,0.09,0.0,5.0253697585831e-05,5.027018764263454e-05,-0.0003438863929238686
0.01,0.1,0.0,5.0247740765769e-05,5.0264103526761306e-05,-0.0003412317448604136
0.01,0.11,0.0,5.0239390260978e-05,5.025711519693568e-05,-0.0003696387686174914
0.01,0.12,0.0,5.0231039756186e-05,5.024913908579325e-05,-0.0003774464361844924
0.01,0.13,0.0,5.0221214327644e-05,5.0240081577538554e-05,-0.0003934607738427504
0.01,0.14,0.0,5.0209913975353e-05,5.0229838452663076e-05,-0.0004155083705705095
0.01,0.15,0.0,5.0198613623062e-05,5.021829429150139e-05,-0.0004104239397464908
0.01,0.16,0.0,5.018364267759e-05,5.020532183883595e-05,-0.00045210084181647274
0.01,0.17,0.0,5.0168671732118e-05,5.019078133209594e-05,-0.0004610772828732582
0.01,0.18,0.0,5.0151410957419e-05,5.017451979606115e-05,-0.0004819155725164853
0.01,0.19,0.0,5.0131860353495e-05,5.015637030737596e-05,-0.000511134663225861
0.01,0.2,0.0,5.011230974957e-05,5.0136151232599776e-05,-0.0004971942606834907
0.01,0.21,0.0,5.0087055037443e-05,5.011366544396968e-05,-0.0005549378527752396
0.01,0.22,0.0,5.0061800325316e-05,5.008869951752267e-05,-0.0005609602374764967
0.01,0.23,0.0,5.0033008800726e-05,5.006102291871983e-05,-0.000584211085663128
0.01,0.24,0.0,5.0000680463671e-05,5.0030387181225714e-05,-0.0006195088390055599
0.01,0.25,0.0,4.9968352126617e-05,4.999652508502223e-05,-0.0005875235700756863
0.01,0.26,0.0,4.992730427439e-05,4.995914984057023e-05,-0.0006641127447169272
0.01,0.27,0.0,4.9886256422164e-05,4.9917954286270004e-05,-0.0006610325410438963
0.01,0.28,0.0,4.9839871854138e-05,4.987261010700604e-05,-0.000682728981685588
0.01,0.29,0.0,4.9788150570315e-05,4.9822767082086766e-05,-0.0007218985059070975
0.01,0.3,0.0,4.9736429286491e-05,4.976805237139911e-05,-0.0006594730831879145
0.01,0.31,0.0,4.9671742236488e-05,4.970806984907909e-05,-0.0007575820875765979
0.01,0.32,0.0,4.9607055186485e-05,4.9642399494452056e-05,-0.0007370760890629458
0.01,0.33,0.0,4.9534556286585e-05,4.95705968504035e-05,-0.0007515959246315611
0.01,0.34,0.0,4.9454245536789e-05,4.949219255969805e-05,-0.0007913535402492162
0.01,0.35,0.0,4.9373934786993e-05,4.940669199006303e-05,-0.0006831241723562493
0.01,0.36,0.0,4.9274955145473e-05,4.9313574959078564e-05,-0.0008053840295660832
0.01,0.37,0.0,4.9175975503953e-05,4.921229557006526e-05,-0.0007574247120493415
0.01,0.38,0.0,4.9065938389526e-05,4.910228217022025e-05,-0.0007579192598946937
0.01,0.39,0.0,4.8944843802192e-05,4.898293744221457e-05,-0.0007944111179706864
0.01,0.4,0.0,4.8823749214858e-05,4.8853638640320926e-05,-0.0006233190601748387
0.01,0.41,0.0,4.8676690020639e-05,4.871373798188399e-05,-0.0007726043584631833
0.01,0.42,0.0,4.8529630826421e-05,4.856256320456507e-05,-0.0006867773025460867
0.01,0.43,0.0,4.8367468166844e-05,4.839941829928781e-05,-0.000666293387005189
0.01,0.44,0.0,4.8190202041909e-05,4.822358442816982e-05,-0.0006961618468142522
0.01,0.45,0.0,4.8012935916973e-05,4.803432103595013e-05,-0.00044596883533562574
0.01,0.46,0.0,4.7800855309766e-05,4.783086716250293e-05,-0.0006258721789513862
0.01,0.47,0.0,4.7588774702559e-05,4.7612442962972025e-05,-0.0004935818473633111
0.01,0.48,0.0,4.7356823684206e-05,4.737825144085899e-05,-0.0004468580085343039
0.01,0.49,0.0,4.7105002254708e-05,4.712748039806155e-05,-0.00046876294785219437
0.01,0.5,0.0,4.6853180825209e-05,4.685930460438466e-05,-0.00012770631155900608
0.01,0.51,0.0,4.6556440910914e-05,4.657288818744581e-05,-0.00034299424600717384
0.01,0.52,0.0,4.6259700996618e-05,4.626738724217338e-05,-0.00016029024585292512
0.01,0.53,0.0,4.5937832228263e-05,4.594195265726294e-05,-8.592811310287679e-05
0.01,0.54,0.0,4.5590834605849e-05,4.5595733154024686e-05,-0.00010215514008046146
0.01,0.55,0.0,4.5243836983435e-05,4.522787853103822e-05,0.0003328002260245135
0.01,0.56,0.0,4.4841193279303e-05,4.4837543105944736e-05,7.612132357552722e-05
0.01,0.57,0.0,4.4438549575171e-05,4.44238893435707e-05,0.0003057269131645404
0.01,0.58,0.0,4.4005431142966e-05,4.398609165740967e-05,0.0004033088550392173
0.01,0.59,0.0,4.3541837982688e-05,4.352334036931171e-05,0.00038575231228474483
