family,case,h,dt,end,field,l2_error
mms_space_,mms_space_16,0.0625,0.0001,0.01,p,3.0421081743803e-07
mms_space_,mms_space_8,0.125,0.0001,0.01,p,1.2175243786378e-06
mms_space_,mms_space_4,0.25,0.0001,0.01,p,4.8587321289799e-06
mms_space_,mms_space_16,0.0625,0.0001,0.01,ux,2.6562048828672e-09
mms_space_,mms_space_8,0.125,0.0001,0.01,ux,2.0646791097949e-08
mms_space_,mms_space_4,0.25,0.0001,0.01,ux,1.6422301738159e-07
mms_space_,mms_space_16,0.0625,0.0001,0.01,uy,2.7265675427702e-09
mms_space_,mms_space_8,0.125,0.0001,0.01,uy,2.1215866084525e-08
mms_space_,mms_space_4,0.25,0.0001,0.01,uy,1.6952249963971e-07
mms_time_,mms_time_0.005,0.0625,0.005,0.2,p,6.2500336580162e-06
mms_time_,mms_time_0.01,0.0625,0.01,0.2,p,6.2776148920209e-06
mms_time_,mms_time_0.02,0.0625,0.02,0.2,p,6.3333607154943e-06
mms_time_,mms_time_0.005,0.0625,0.005,0.2,ux,5.2956266303434e-08
mms_time_,mms_time_0.01,0.0625,0.01,0.2,ux,5.3001838908358e-08
mms_time_,mms_time_0.02,0.0625,0.02,0.2,ux,5.3099066221876e-08
mms_time_,mms_time_0.005,0.0625,0.005,0.2,uy,5.4396006032011e-08
mms_time_,mms_time_0.01,0.0625,0.01,0.2,uy,5.4424356800283e-08
mms_time_,mms_time_0.02,0.0625,0.02,0.2,uy,5.448021200144e-08
