case,angle,shear_per_pressure,normal11_per_pressure,normal22_per_pressure
coupled,-90.0,-2.3214443341080552e-18,-0.6152850458990811,-0.5773729828336432
coupled,-87.5,-0.001652127007782148,-0.6152129124761168,-0.5774451162566077
coupled,-85.0,-0.0032916803314535104,-0.6149970611861277,-0.5776609675465967
coupled,-82.5,-0.004906181980231587,-0.6146391347877653,-0.5780188939449591
coupled,-80.0,-0.006483344621706435,-0.6141418573170432,-0.5785161714156812
coupled,-77.5,-0.008011165095859555,-0.6135090133557777,-0.5791490153769467
coupled,-75.0,-0.009478015766359472,-0.6127454192286357,-0.5799126095040887
coupled,-72.5,-0.010872733013894999,-0.6118568863479955,-0.5808011423847288
coupled,-70.0,-0.012184702198059122,-0.6108501769855897,-0.5818078517471348
coupled,-67.5,-0.013403938441171588,-0.6097329528075337,-0.5829250759251906
coupled,-65.0,-0.014521162619227467,-0.6085137165644212,-0.5841443121683031
coupled,-62.5,-0.015527871981633329,-0.6072017473802572,-0.5854562813524673
coupled,-60.0,-0.01641640486227351,-0.6058070301327216,-0.5868509986000027
coupled,-57.5,-0.01717999898941546,-0.6043401794622217,-0.5883178492705026
coupled,-55.0,-0.017812842950681,-0.6028123589880687,-0.5898456697446558
coupled,-52.5,-0.018310120421403196,-0.6012351963465938,-0.5914228323861307
coupled,-50.0,-0.018668046819765527,-0.5996206946978158,-0.5930373340349087
coupled,-47.5,-0.01888389810975454,-0.5979811413741444,-0.59467688735858
coupled,-45.0,-0.01895603153271896,-0.5963290143663622,-0.5963290143663622
coupled,-42.5,-0.01888389810975458,-0.59467688735858,-0.5979811413741443
coupled,-40.0,-0.018668046819765537,-0.5930373340349087,-0.5996206946978158
coupled,-37.5,-0.018310120421403186,-0.5914228323861306,-0.6012351963465938
coupled,-35.0,-0.017812842950681026,-0.5898456697446558,-0.6028123589880687
coupled,-32.5,-0.01717999898941546,-0.5883178492705026,-0.6043401794622217
coupled,-30.0,-0.016416404862273467,-0.5868509986000028,-0.6058070301327217
coupled,-27.5,-0.01552787198163334,-0.5854562813524672,-0.6072017473802572
coupled,-25.0,-0.01452116261922748,-0.5841443121683031,-0.6085137165644213
coupled,-22.5,-0.013403938441171593,-0.5829250759251906,-0.6097329528075338
coupled,-20.0,-0.012184702198059087,-0.5818078517471348,-0.6108501769855897
coupled,-17.5,-0.010872733013895002,-0.5808011423847289,-0.6118568863479955
coupled,-15.0,-0.009478015766359486,-0.5799126095040887,-0.6127454192286358
coupled,-12.5,-0.008011165095859562,-0.5791490153769467,-0.6135090133557777
coupled,-10.0,-0.006483344621706435,-0.5785161714156812,-0.6141418573170433
coupled,-7.5,-0.004906181980231592,-0.5780188939449591,-0.6146391347877654
coupled,-5.0,-0.0032916803314535143,-0.5776609675465967,-0.6149970611861277
coupled,-2.5,-0.0016521270077821462,-0.5774451162566077,-0.6152129124761168
coupled,0.0,-0.0,-0.5773729828336431,-0.6152850458990811
coupled,2.5,0.0016521270077821462,-0.5774451162566077,-0.6152129124761168
coupled,5.0,0.0032916803314535143,-0.5776609675465967,-0.6149970611861277
coupled,7.5,0.004906181980231592,-0.5780188939449591,-0.6146391347877654
coupled,10.0,0.006483344621706435,-0.5785161714156812,-0.6141418573170433
coupled,12.5,0.008011165095859562,-0.5791490153769467,-0.6135090133557777
coupled,15.0,0.009478015766359486,-0.5799126095040887,-0.6127454192286358
coupled,17.5,0.010872733013895002,-0.5808011423847289,-0.6118568863479955
coupled,20.0,0.012184702198059087,-0.5818078517471348,-0.6108501769855897
coupled,22.5,0.013403938441171593,-0.5829250759251906,-0.6097329528075338
coupled,25.0,0.01452116261922748,-0.5841443121683031,-0.6085137165644213
coupled,27.5,0.01552787198163334,-0.5854562813524672,-0.6072017473802572
coupled,30.0,0.016416404862273467,-0.5868509986000028,-0.6058070301327217
coupled,32.5,0.01717999898941546,-0.5883178492705026,-0.6043401794622217
coupled,35.0,0.017812842950681026,-0.5898456697446558,-0.6028123589880687
coupled,37.5,0.018310120421403186,-0.5914228323861306,-0.6012351963465938
coupled,40.0,0.018668046819765537,-0.5930373340349087,-0.5996206946978158
coupled,42.5,0.01888389810975458,-0.59467688735858,-0.5979811413741443
coupled,45.0,0.01895603153271896,-0.5963290143663622,-0.5963290143663622
coupled,47.5,0.01888389810975454,-0.5979811413741444,-0.59467688735858
coupled,50.0,0.018668046819765527,-0.5996206946978158,-0.5930373340349087
coupled,52.5,0.018310120421403196,-0.6012351963465938,-0.5914228323861307
coupled,55.0,0.017812842950681,-0.6028123589880687,-0.5898456697446558
coupled,57.5,0.01717999898941546,-0.6043401794622217,-0.5883178492705026
coupled,60.0,0.01641640486227351,-0.6058070301327216,-0.5868509986000027
coupled,62.5,0.015527871981633329,-0.6072017473802572,-0.5854562813524673
coupled,65.0,0.014521162619227467,-0.6085137165644212,-0.5841443121683031
coupled,67.5,0.013403938441171588,-0.6097329528075337,-0.5829250759251906
coupled,70.0,0.012184702198059122,-0.6108501769855897,-0.5818078517471348
coupled,72.5,0.010872733013894999,-0.6118568863479955,-0.5808011423847288
coupled,75.0,0.009478015766359472,-0.6127454192286357,-0.5799126095040887
coupled,77.5,0.008011165095859555,-0.6135090133557777,-0.5791490153769467
coupled,80.0,0.006483344621706435,-0.6141418573170432,-0.5785161714156812
coupled,82.5,0.004906181980231587,-0.6146391347877653,-0.5780188939449591
coupled,85.0,0.0032916803314535104,-0.6149970611861277,-0.5776609675465967
coupled,87.5,0.001652127007782148,-0.6152129124761168,-0.5774451162566077
coupled,90.0,2.3214443341080552e-18,-0.6152850458990811,-0.5773729828336432
uncoupled,-90.0,2.1789409980263115e-33,-0.6000000000000001,-0.6000000000000001
uncoupled,-87.5,1.8399521000200487e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-85.0,3.6799042000400975e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-82.5,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-80.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,-77.5,1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-75.0,4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-72.5,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-70.0,-2.4532694666933983e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-67.5,1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-65.0,4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-62.5,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-60.0,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-57.5,2.4532694666933983e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-55.0,1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-52.5,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,-50.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,-47.5,3.434577253370758e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-45.0,2.4532694666933983e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-42.5,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-40.0,-1.3492982066813691e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-37.5,1.1039712600120293e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-35.0,-2.108278447939639e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-32.5,3.0665868333667477e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-30.0,1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-27.5,-1.1039712600120293e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,-25.0,6.133173666733496e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-22.5,7.359808400080195e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-20.0,4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-17.5,2.4532694666933983e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-15.0,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-12.5,9.813077866773593e-18,-0.6000000000000001,-0.6
uncoupled,-10.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,-7.5,4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,-5.0,2.4532694666933983e-18,-0.6000000000000001,-0.6
uncoupled,-2.5,4.599880250050122e-18,-0.6000000000000001,-0.6
uncoupled,0.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,2.5,-4.599880250050122e-18,-0.6000000000000001,-0.6
uncoupled,5.0,-2.4532694666933983e-18,-0.6000000000000001,-0.6
uncoupled,7.5,-4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,10.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,12.5,-9.813077866773593e-18,-0.6000000000000001,-0.6
uncoupled,15.0,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,17.5,-2.4532694666933983e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,20.0,-4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,22.5,-7.359808400080195e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,25.0,-6.133173666733496e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,27.5,1.1039712600120293e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,30.0,-1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,32.5,-3.0665868333667477e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,35.0,2.108278447939639e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,37.5,-1.1039712600120293e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,40.0,1.3492982066813691e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,42.5,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,45.0,-2.4532694666933983e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,47.5,-3.434577253370758e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,50.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,52.5,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,55.0,-1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,57.5,-2.4532694666933983e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,60.0,9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,62.5,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,65.0,-4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,67.5,-1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,70.0,2.4532694666933983e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,72.5,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,75.0,-4.906538933386797e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,77.5,-1.9626155733547187e-17,-0.6000000000000001,-0.6000000000000001
uncoupled,80.0,-0.0,-0.6000000000000001,-0.6000000000000001
uncoupled,82.5,-9.813077866773593e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,85.0,-3.6799042000400975e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,87.5,-1.8399521000200487e-18,-0.6000000000000001,-0.6000000000000001
uncoupled,90.0,-2.1789409980263115e-33,-0.6000000000000001,-0.6000000000000001
conformal,-90.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-87.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-85.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-82.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-80.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-77.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-75.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-72.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-70.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-67.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-65.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-62.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-60.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-57.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-55.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-52.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-50.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-47.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-45.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-42.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-40.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-37.5,-0.0,-0.6000000000000001,-0.6000000000000001
